state_id,file,owner,population_k,category,species,minority,cultures,politics,groups,warnings
83,83-State_83.txt,SOB,240.0,small_island,2,,5,2:0.126847;6:0.873153,2,
84,84-Mousing.txt,TAI,1296.842,large_town,1,,3,4:0.121154;7:0.878846,2,
85,85-State_85.txt,MEC,5700.0,metropolis,1,9,29,2:0.140000;6:0.280000;7:0.580000,6,
87,87-State_87.txt,OST,747.5,large_town,1,9,25,3:0.040301;6:0.365776;7:0.593923,6,
88,88-State_88.txt,PTQ,2540.0,town,1,,4,0:0.452482;2:0.547518,2,
89,89-State_89.txt,OST,1140.0,town,1,,25,6:0.695517;7:0.304483,2,
90,90-State_90.txt,ELO,4700.0,large_city,1,,3,1:0.267441;2:0.035907;6:0.696652,3,
91,91-North Fleatherclaw.txt,FLM,58.19,rural,28,1,77,0:0.181818;1:0.181818;8:0.636364,6,
93,93-State_93.txt,FOD,1726.833,large_town,24,1,81,3:0.016261;8:0.983739,4,
94,94-State_94.txt,AUR,1389.473,large_town,1,,3,1:0.330073;7:0.669927,2,
95,95-State_95.txt,STR,1960.0,rural,1,,24;4,2:0.023166;5:0.976834,4,
96,96-STATE_1575.txt,MCF,1371.241,rural,13,0,11,6:0.485105;7:0.514895,4,
97,97-State_97.txt,OST,415.0,rural,1,,25,3:0.090663;4:0.063947;7:0.845391,3,
98,98-State_98.txt,STR,2700.0,town,1,,24;4,2:0.044709;5:0.955291,4,
99,99-State_99.txt,OST,648.148,town,1,,25;41,3:0.303424;4:0.696576,4,
100,100-South Fleatherclaw.txt,FLS,149.809,rural,28,1,77,2:0.409091;3:0.136364;7:0.454545,6,
103,103-State_103.txt,STR,2200.0,town,1,,24,2:0.040512;5:0.959488,2,
104,104-State_104.txt,STR,2300.0,town,1,,24,1:0.018735;2:0.035486;5:0.945779,3,
105,105-State_105.txt,KKN,1505.693,large_town,1,7,82,5:0.136154;8:0.863846,4,
106,106-State_106.txt,AUR,991.305,town,1,,3;42,0:0.932033;6:0.028290;8:0.039677,6,
108,108-State_108.txt,WAC,4181.333,large_town,1,7,82,1:0.843427;3:0.026425;7:0.130148,6,
109,109-State_109.txt,WAC,1400.0,wasteland,1,7,82,1:0.626416;5:0.307024;7:0.066560,6,
110,110-State_110.txt,MEW,7000.0,city,1,,25;24,0:0.932571;1:0.064157;4:0.003271,6,
111,111-State_111.txt,STR,2500.0,town,1,,24,2:0.002212;5:0.522028;6:0.475760,3,
113,113-State_113.txt,MEW,5000.0,town,1,,24,0:0.714465;2:0.285535,2,
115,115-State_115.txt,PRL,4800.0,town,1,,42,3:0.690855;7:0.309145,2,
116,116-State_116.txt,AUR,4987.826,large_city,1,,42,4:0.057720;7:0.358429;8:0.583852,3,
117,117-State_117.txt,WAC,2110.769,town,1,7,82,1:0.873511;4:0.016278;7:0.110211,6,
118,118-Solagnaw.txt,WPR,738.636,large_town,1,,25,1:1.000000,1,
119,119-Katzil.txt,WPR,2000.0,town,1,,41,3:0.047745;5:0.151813;7:0.800442,3,
120,120-State_120.txt,KKN,2880.059,large_town,7,1,82,3:0.034584;8:0.965416,4,
121,121-State_121.txt,STR,2320.0,town,1,,24,1:0.469022;2:0.325909;8:0.205069,3,
122,122-State_122.txt,MEW,3400.0,town,1,,25,0:0.524570;3:0.050136;7:0.425294,3,
123,123-State_123.txt,KKN,1950.858,town,1,7,82,7:0.099140;8:0.900860,4,
124,124-State_124.txt,KKN,817.61,town,7,1,82,3:1.000000,2,
128,128-State_128.txt,KKN,2699.787,town,7,1,82,4:0.006966;8:0.993034,4,
131,131-State_131.txt,LIO,1530.0,town,1,,24,3:0.000239;6:0.946709;8:0.053052,3,
132,132-State_132.txt,LIO,3700.0,rural,1,,24,3:0.000418;6:0.801749;8:0.197833,3,
133,133-Meterhills.txt,WPR,412.903,rural,1,,41,2:0.542297;7:0.457703,2,
135,135-State_135.txt,LIO,1500.0,pastoral,1,,41,6:1.000000,1,
136,136-Western_Grand_Hills.txt,WPR,1061.224,town,1,,41,3:0.462972;4:0.537028,2,
138,138-State_138.txt,PRL,2300.0,large_town,1,,41;2,3:0.795905;6:0.204095,4,
140,140-Itchiloo.txt,PRL,985.0,town,1,,2,2:0.154966;3:0.845034,2,
142,142-Cuddlezone.txt,WPR,2500.0,town,1,,41,0:0.203559;3:0.208740;6:0.587701,3,
143,143-State_143.txt,WAC,1400.0,rural,1,58,82,1:0.810908;4:0.019370;7:0.169722,6,
146,146-State_146.txt,KPK,2226.0,city,1,7,75,1:0.538462;4:0.461538,4,
147,147-State_147.txt,RST,2360.0,town,3,,67,1:0.983260;3:0.016740,2,
149,149-State_149.txt,ACR,2596.173,town,24,,83,2:0.566877;3:0.433123,2,culture missing; inherited owner modal culture 83
151,151-State_151.txt,BRA,1700.0,town,10,,70,0:0.499117;1:0.500883,2,
152,152-STATE_1574.txt,ACR,1140.567,town,24,,81,1:0.916638;3:0.083362,2,
153,153-State_153.txt,LIO,1700.0,rural,1,,44,4:0.000743;6:0.999257,2,
156,156-State_156.txt,PRL,1425.806,large_town,1,,2,3:0.774779;6:0.088666;7:0.136555,3,
159,159-State_159.txt,LIO,2420.0,large_town,1,,44,4:0.000152;6:0.517653;7:0.482195,3,
161,161-Vhi Gherizad.txt,KOL,240.0,rural,58,,55,4:0.056188;6:0.006680;7:0.937132,3,
165,165-State_165.txt,NMI,8900.0,city,8,1,52;75,9:1.000000,4,
166,166-State_166.txt,FOD,2718.393,town,7,1,81,3:0.020068;7:0.096194;8:0.883739,6,
168,168-State_168.txt,CAT,3620.689,large_town,1,,44,3:0.162500;4:0.741987;6:0.095513,3,
169,169-State_169.txt,CAT,1250.0,pastoral,1,,44,3:0.133945;4:0.866055,2,
171,171-State_171.txt,EUL,3920.0,town,7,,,1:0.550000;2:0.212143;3:0.237857,0,no resolvable starting species/culture; arrays left empty
173,173-State_173.txt,PRL,15000.0,metropolis,1,,2,2:0.043665;3:0.799268;6:0.157067,3,
174,174-State_174.txt,LIO,1907.142,city,1,,45;44,3:0.000497;6:0.999503,4,
176,176-STATE_1573.txt,ACR,1282.013,large_town,24,,83,1:1.000000,1,culture missing; inherited owner modal culture 83
177,177-State_177.txt,CAT,2215.152,large_city,1,,43,4:0.698717;6:0.301283,2,
179,179-State_179.txt,RST,2600.0,town,3,,67,1:0.792384;3:0.019496;4:0.188119,3,
183,183-State_183.txt,ACR,497.0,city,1,7,83,1:0.874547;2:0.081646;3:0.043807,6,
188,188-State_188.txt,BRA,1470.0,town,10,,70,3:0.020501;4:0.979499,2,
189,189-State_189.txt,RST,1930.0,town,3,,67,1:1.000000,1,
191,191-State_191.txt,PRL,1400.0,town,1,3,2,3:0.746159;6:0.253841,4,
192,192-State_192.txt,PRL,6800.0,large_city,1,9,2,0:0.006945;3:0.859938;7:0.133117,6,
197,197-State_197.txt,MEO,1200.0,large_town,1,7,45,6:0.011658;7:0.988342,4,
200,200-State_200.txt,FOD,3930.3,town,7,1,81,4:0.079472;8:0.920528,4,
201,201-State_201.txt,ACR,371.0,city,1,24,83,1:0.896969;3:0.103031,4,
202,202-STATE_1572.txt,KKN,12844.897,megalopolis,7,1,81,3:0.157892;4:0.078559;7:0.763549,6,
203,203-State_203.txt,ACR,2447.965,town,24,,83,0:0.037465;1:0.825547;2:0.136989,3,culture missing; inherited owner modal culture 83
204,204-State_204.txt,CAT,1005.882,town,1,,43,4:0.521695;7:0.478305,2,
206,206-State_206.txt,CAT,900.0,wasteland,1,,44,4:0.345928;5:0.654072,2,
207,207-STATE_1571.txt,ROQ,775.132,town,3,,7,4:0.619777;7:0.380223,2,
209,209-Paktu.txt,UMR,13790.0,large_city,57,1,78,4:0.060283;6:0.821148;8:0.118569,6,
212,212-Jérezucar.txt,GAL,2300.0,rural,25,,71,2:0.049691;6:0.950309,2,
213,213-State_213.txt,KUS,3288.0,city,1,12,2,1:0.258060;3:0.231714;4:0.510226,6,
215,215-State_215.txt,RST,5960.0,large_town,3,,67,3:0.552987;5:0.447013,2,
216,216-State_216.txt,ACR,14840.0,large_town,24,,83,0:0.686364;2:0.313636,2,culture missing; inherited owner modal culture 83
218,218-State_218.txt,KUS,6050.0,large_city,12,1,48,0:0.450578;1:0.393114;3:0.156308,6,
219,219-STATE_1570.txt,ROQ,1436.409,town,3,0,6,4:0.810865;8:0.189135,4,
220,220-State_220.txt,HIM,1200.0,town,1,,44,6:0.303103;7:0.696897,2,
223,223-State_223.txt,ROQ,125.0,rural,3,,67,8:1.000000,1,
225,225-State_225.txt,KUS,2160.0,city,12,1,20;48,1:0.058747;3:0.067650;7:0.873603,12,
226,226-State_226.txt,ACR,3200.0,city,7,24,83,0:0.690488;3:0.309512,4,culture missing; inherited owner modal culture 83
227,227-State_227.txt,ACR,4660.0,large_town,24,7,83,0:0.287612;2:0.452174;3:0.260215,6,culture missing; inherited owner modal culture 83
228,228-State_228.txt,KHA,560.0,town,22,,64,4:0.519249;7:0.480751,2,
229,229-State_229.txt,KUS,2450.0,town,12,1,48;49,1:0.300109;2:0.359344;6:0.340547,12,
231,231-State_231.txt,KUS,2590.0,rural,12,1,20;48,3:0.225562;8:0.774438,8,
233,233-State_233.txt,NEK,780.0,town,14,,49,0:0.941339;1:0.057812;2:0.000849,3,
234,234-Aveibrigado.txt,PGN,16080.0,city,25,,97,1:0.061005;2:0.014006;7:0.924988,3,
236,236-State_236.txt,FSR,5290.0,large_city,1,3,20,5:0.138771;7:0.167372;8:0.693856,6,
238,238-State_238.txt,RQA,2740.0,town,1,3,20;6,5:0.104691;6:0.348971;7:0.546338,12,
239,239-South Wolfen's Coast.txt,NEK,210.0,town,14,,49,0:0.687198;1:0.312802,2,
240,240-State_240.txt,NEK,1260.0,town,14,,49,0:0.360387;1:0.639613,2,
241,241-State_241.txt,NEK,1650.0,town,14,,49,0:0.635093;1:0.277932;8:0.086974,3,
242,242-State_242.txt,DOM,5080.0,large_town,1,13,20;11,2:0.031664;6:0.079159;8:0.889177,12,
243,243-State_243.txt,NEK,940.0,town,14,,49,0:0.427530;1:0.504900;8:0.067570,3,
244,244-State_244.txt,DOM,2480.0,town,1,13,20;11,1:0.064859;7:0.583734;8:0.351407,12,
245,245-State_245.txt,RQA,5770.0,large_town,1,3,20;6,3:0.082858;7:0.751426;8:0.165716,12,
247,247-Cookartagena.txt,SMI,12100.0,city,1,25,95,2:0.012563;6:0.133057;7:0.854380,6,
248,248-State_248.txt,NEK,1650.0,rural,14,,49;11,2:1.000000,2,
250,250-State_250.txt,VIX,1850.0,town,12,,63,0:0.418029;3:0.581971,2,
252,252-South Western New Kastra.txt,RQP,4170.0,large_city,25,3,71,3:0.127575;4:0.800710;7:0.071715,6,
254,254-State_254.txt,FSR,5600.0,city,1,3,20;6,3:0.047815;6:0.059434;7:0.892751,12,
255,255-State_255.txt,FSR,2160.0,large_town,1,3,20,3:0.041469;4:0.339861;7:0.618670,6,
256,256-State_256.txt,LMB,2568.194,town,3,1,6,3:0.381184;6:0.618816,4,
258,258-State_258.txt,ROQ,4947.232,large_city,3,1,6,0:0.049633;4:0.840467;8:0.109900,6,
260,260-State_260.txt,LMB,301.003,town,3,1,6,4:0.140940;5:0.113145;6:0.745916,6,
261,261-State_261.txt,VIX,5850.0,city,12,,49;63,1:0.559347;3:0.440653,4,
262,262-State_262.txt,KAP,5569.966,large_town,48,47,90,3:0.650423;5:0.349577,4,
264,264-State_264.txt,KHA,390.0,town,22,,64,6:0.469035;7:0.530965,2,
265,265-State_265.txt,MCF,6270.0,large_town,13,,11,3:0.142076;7:0.857924,2,
266,266-State_266.txt,ACR,10020.0,megalopolis,24,7,83,1:0.729895;2:0.119422;3:0.150683,6,culture missing; inherited owner modal culture 83
267,267-State_267.txt,KHA,760.0,large_town,22,,65,7:0.922017;8:0.077983,2,
269,269-State_269.txt,MCF,2265.374,large_town,13,,11,4:0.189342;7:0.810658,2,
270,270-State_270.txt,NEK,1260.0,town,14,,49,0:0.808669;2:0.008370;8:0.182961,3,
271,271-State_271.txt,SLR,6310.0,town,3,,57,1:0.826369;3:0.173631,2,
272,272-State_272.txt,LMB,2540.0,town,3,1,6,3:0.140057;5:0.252145;6:0.607798,6,
273,273-State_273.txt,SLR,6310.0,large_town,3,,56,0:0.634462;2:0.365538,2,
274,274-State_274.txt,VIX,3720.0,town,12,,61;63,0:0.188257;2:0.075813;3:0.735930,6,
275,275-State_275.txt,NEK,6000.0,large_city,14,,49,0:0.986305;2:0.010529;7:0.003166,3,
276,276-State_276.txt,ROQ,2164.126,large_town,3,1,7,4:0.739613;8:0.260387,4,
277,277-State_277.txt,KHA,560.0,town,22,,65,2:0.081171;5:0.519249;7:0.399580,3,
278,278-State_278.txt,ROQ,4963.0,town,3,1,6,0:0.351479;4:0.648521,4,
281,281-State_281.txt,ROQ,4765.953,large_city,3,,6,0:0.075685;4:0.855908;7:0.068407,3,
282,282-Kattailhain.txt,SIL,1250.0,rural,1,,21,7:0.836960;8:0.163040,2,
283,283-State_283.txt,ELO,1561.539,large_town,1,,3,0:0.905578;6:0.094422,2,
284,284-Solemom.txt,FKS,2610.0,town,1,25,95;97,1:0.760345;2:0.098858;6:0.140797,12,
285,285-State_285.txt,ROQ,15344.0,metropolis,3,9,37,4:0.772420;8:0.227580,4,
286,286-State_286.txt,NEK,2650.0,town,14,,49,0:0.890528;1:0.107451;2:0.002021,3,
287,287-Isle_Of_Nyan.txt,NEK,1430.0,town,14,,49,2:0.554312;7:0.445688,2,
288,288-Doughvila.txt,PGN,2860.0,town,25,,97,2:0.014970;6:0.522361;7:0.462669,3,
289,289-State_289.txt,VIX,6700.0,megalopolis,12,,63,3:0.632128;7:0.367872,2,
290,290-Magdalonja.txt,FKS,2910.0,town,25,,97,3:0.040372;6:0.764262;7:0.195366,3,
291,291-State_291.txt,GAL,1980.0,town,25,,71,2:0.034375;6:0.965625,2,
292,292-State_292.txt,ROQ,10381.0,large_city,3,9,7,4:0.727861;7:0.038606;8:0.233533,6,
293,293-State_293.txt,ROQ,1225.0,town,3,1,6,4:0.807159;8:0.192841,4,
294,294-State_294.txt,MCF,4650.0,large_town,13,,50,2:0.003624;6:0.491698;7:0.504679,3,
295,295-State_295.txt,ROQ,6468.0,town,3,9,7,4:0.881088;8:0.118912,4,
296,296-State_296.txt,ROQ,1799.0,town,3,1,7;6,0:0.247422;4:0.752578,8,
297,297-State_297.txt,ROQ,1840.244,town,3,,6,4:0.831822;8:0.168178,2,
299,299-State_299.txt,LMB,6180.0,large_town,3,1,6,3:0.058290;4:0.099645;6:0.842065,6,
300,300-Valledupèr.txt,FKS,2990.0,town,1,25,95;96,0:0.663712;3:0.336288,8,
301,301-State_301.txt,LMB,3340.0,town,3,1,6,3:0.553692;5:0.446308,4,
302,302-State_302.txt,FST,4080.0,town,1,,61,3:0.383786;7:0.616214,2,
303,303-State_303.txt,ROQ,7200.991,large_city,3,1,58,0:0.037239;4:0.893708;7:0.069053,6,
306,306-State_306.txt,ROQ,4592.0,town,3,,7,4:0.827720;8:0.172280,2,
307,307-State_307.txt,ROQ,3920.0,town,3,1,6,0:0.305972;4:0.694028,4,
308,308-State_308.txt,ROQ,861.0,town,3,,7,4:0.448997;7:0.095034;8:0.455969,3,
309,309-Rozzmione.txt,PRC,10597.742,metropolis,47,,88,1:0.547687;4:0.388082;8:0.064231,3,
311,311-State_311.txt,KHA,780.0,large_town,22,,65,3:0.189070;7:0.810930,2,
313,313-State_313.txt,MCF,2492.307,town,13,,11,3:0.107522;4:0.021496;6:0.870982,3,
314,314-State_314.txt,ROQ,3395.982,city,3,1,7,4:0.639591;7:0.360409,4,
316,316-State_316.txt,ROQ,2961.0,town,3,,7,4:0.869448;7:0.060035;8:0.070517,3,
317,317-State_317.txt,KHA,910.0,town,22,,64,8:1.000000,1,
319,319-State_319.txt,ROQ,2940.0,town,3,,7;6,4:0.737031;7:0.262969,4,
320,320-State_320.txt,ROQ,26271.0,megalopolis,3,1,6,4:0.894991;7:0.089841;8:0.015167,6,
321,321-State_321.txt,PER,2453.344,town,3,1,7,3:0.040334;4:0.012795;6:0.946871,6,
322,322-Zharr Station.txt,PAN,2510.0,rural,60,,79,3:0.128828;6:0.381315;7:0.489857,3,
323,323-State_323.txt,PER,6040.0,large_town,3,9,7,3:0.105672;6:0.894328,4,
324,324-Kattenburg_Airbase.txt,PTQ,821.333,town,1,,64,1:0.209124;6:0.790876,2,
325,325-State_325.txt,ROQ,5654.544,city,3,,58,0:0.150879;4:0.813207;8:0.035914,3,
326,326-State_326.txt,MUL,1604.05,town,45,47,89,0:0.176380;6:0.823620,4,
327,327-State_327.txt,SLR,6670.0,megalopolis,3,,57,0:0.934453;2:0.065547,2,
328,328-State_328.txt,SLR,11450.0,large_city,3,,57,0:0.706051;1:0.230910;4:0.063039,3,
332,332-State_332.txt,ROQ,4697.0,town,3,1,7,4:0.775164;8:0.224836,4,
333,333-State_333.txt,FST,2370.0,rural,1,,61,3:0.007749;4:0.022910;8:0.969341,3,
334,334-State_334.txt,RSA,130.0,town,3,,7,4:0.747692;5:0.252308,2,
336,336-State_336.txt,ALK,2590.0,metropolis,28,3,46;47,3:0.085876;6:0.742373;7:0.171751,12,
337,337-State_337.txt,TEN,6710.0,town,3,0,66,1:0.043816;4:0.022127;7:0.934058,6,
338,338-Albathorn.txt,SMP,4815.966,large_town,44,,86,1:0.463756;2:0.023194;6:0.513049,3,
339,339-State_339.txt,PLR,220.0,town,15,,33,1:1.000000,1,
340,340-State_340.txt,TAK,31.5,rural,3,,36,4:1.000000,1,
341,341-State_341.txt,IZW,1170.0,town,59,,62,1:0.211910;2:0.788090,2,
342,342-Ornistralia.txt,SMP,3548.798,town,44,,86,2:0.012576;5:0.918550;7:0.068874,3,
343,343-State_343.txt,RSA,280.0,pastoral,15,3,33,3:0.248929;4:0.751071,4,
344,344-State_344.txt,PLR,650.0,town,15,,33,1:0.958787;2:0.034311;4:0.006903,3,
346,346-State_346.txt,FST,2250.0,town,1,,60;61,3:0.204482;4:0.294530;5:0.500988,6,
347,347-State_347.txt,TAK,86.0,rural,3,,36,5:1.000000,1,
349,349-State_349.txt,TAK,1900.0,metropolis,3,,36,3:0.176471;6:0.141176;7:0.682353,3,
350,350-State_350.txt,RST,1400.0,town,3,,67,1:0.880745;4:0.119255,2,
351,351-State_351.txt,SOF,880.0,town,32,,18,1:0.527535;7:0.472465,2,
352,352-Plateire.txt,SMP,4116.123,large_town,44,,86,2:0.001997;5:0.908733;6:0.089270,3,
353,353-West Dazhungli.txt,PAN,2660.0,town,60,,79,4:0.044099;7:0.955901,2,
354,354-State_354.txt,TEN,5450.0,large_town,3,0,66,4:0.032462;6:0.077177;7:0.890361,6,
355,355-State_355.txt,SOF,1030.0,rural,32,,18,4:0.440111;8:0.559889,2,
356,356-State_356.txt,SLR,8840.0,large_city,3,,56,0:0.652284;2:0.266064;5:0.081652,3,
357,357-State_357.txt,TEN,6710.0,town,3,0,66,0:0.130458;2:0.084146;6:0.785397,6,
358,358-State_358.txt,KEP,3100.0,town,3,,58;59,3:0.290521;4:0.567081;6:0.142398,6,
359,359-State_359.txt,PLR,460.0,town,15,,31,1:0.922355;4:0.077645,2,
360,360-Novanada.txt,SMP,3614.283,town,44,34,86,2:0.007063;5:0.992937,4,
361,361-State_361.txt,MUL,2000.0,town,45,44,89,4:0.182766;6:0.675773;8:0.141461,6,
363,363-State_363.txt,KEP,1902.0,town,3,,56;58,5:0.110239;7:0.889761,4,
364,364-State_364.txt,KEP,1582.223,town,3,,58,3:0.426728;4:0.573272,2,
365,365-State_365.txt,SOF,4380.0,town,32,,18,3:0.034424;6:0.241001;7:0.724575,3,
366,366-State_366.txt,SOF,10.0,rural,32,,18,1:0.204803;5:0.795197,2,
368,368-State_368.txt,SOF,10.0,rural,32,,18,6:0.269817;7:0.730183,2,
369,369-State_369.txt,SOF,2060.0,large_city,32,,18,3:0.060264;7:0.939736,2,
370,370-State_370.txt,KEP,4576.0,city,3,,58,3:0.134921;4:0.677833;7:0.187247,3,
371,371-Greater_Thamplatin_Area.txt,SMP,12386.992,metropolis,44,,86,2:0.000775;5:0.979499;7:0.019726,3,
372,372-Southumberland.txt,SMP,3423.371,town,44,,86,0:0.598393;2:0.052643;8:0.348964,3,
374,374-Clawlogne.txt,KTN,3171.866,large_city,19,34,84,1:0.603442;2:0.396558,4,
375,375-Atarbuhl.txt,SIL,1120.0,town,1,,21;38,6:0.632564;7:0.367436,4,
377,377-State_377.txt,PLR,140.0,rural,15,,31,2:0.705530;8:0.294470,2,
379,379-Lake_District.txt,SMP,5537.753,large_city,44,,86,2:0.003138;5:0.565327;6:0.431534,3,
380,380-Platishire.txt,SMP,5258.426,large_town,44,,86,2:0.233164;7:0.627698;8:0.139138,3,
381,381-State_381.txt,KAR,250.0,town,15,,35,6:0.170656;7:0.829344,2,
382,382-Meowhattan.txt,KTN,8497.443,megalopolis,19,,84;85,2:0.859476;6:0.082008;7:0.058516,6,
383,383-State_383.txt,KEP,6536.0,large_town,3,,23;58,0:0.176124;4:0.823876,4,
384,384-State_384.txt,PLR,230.0,town,15,,9,0:0.030459;1:0.959152;4:0.010389,3,
385,385-State_385.txt,LTR,1286.556,rural,46,47,87,4:1.000000,2,
386,386-State_386.txt,FST,2130.0,town,1,,60;61,4:0.023502;7:0.031530;8:0.944968,6,
387,387-Thornwall.txt,SMP,3221.538,town,44,19,86,2:0.004322;5:0.980521;7:0.015158,6,
389,389-State_389.txt,LTR,2524.679,large_town,46,9,87,4:0.015180;6:0.036649;8:0.948171,6,
