[13:11:52][no_game_date][dlc.cpp:222]: Invalid supported_version in  file: mod/ugc_3368690477.mod line: 7
[13:11:58][no_game_date][countrytag.cpp:126]: KLT - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: KBK - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: DJI - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: SEN - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: GAM - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: GNB - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: SIE - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: VOL - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: GNA - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: XSM - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: SIK - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: KHM - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: GSM - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: NXM - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: KUM - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: SAB - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: BRN - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: CHM - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: AFG - is not in the tag list
[13:11:58][no_game_date][persistent.cpp:66]: Error: "Unexpected token: rocket_artillery_brigade, near line: 44" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 46
[13:11:58][no_game_date][persistent.cpp:66]: Error: "Unexpected token: rocket_artillery_brigade, near line: 69" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 71
[13:11:58][no_game_date][persistent.cpp:66]: Error: "Unexpected token: mot_rocket_artillery_brigade, near line: 183" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 185
[13:11:58][no_game_date][persistent.cpp:66]: Error: "Unexpected token: mot_rocket_artillery_brigade, near line: 230" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 232
[13:11:58][no_game_date][persistent.cpp:66]: Error: "Unexpected token: helicopter_recon, near line: 273" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 279
[13:11:58][no_game_date][persistent.cpp:66]: Error: "Unexpected token: rocket_artillery_brigade, near line: 407" in file: "common/doctrines/subdoctrines/land/infantry_subdoctrines.txt" near line: 409
[13:11:58][no_game_date][common/doctrines/subdoctrines/sea/navy_submarine_doctrines.txt:302]: Value does not belong to designated Script EnumType: ship_hull_fleet_submarine not in script_enum_equipment_bonus_type
[13:11:58][no_game_date][common/doctrines/subdoctrines/sea/navy_submarine_doctrines.txt:306]: Value does not belong to designated Script EnumType: ship_hull_cruiser_submarine not in script_enum_equipment_bonus_type
[13:11:58][no_game_date][common/doctrines/subdoctrines/sea/navy_submarine_doctrines.txt:317]: Value does not belong to designated Script EnumType: ship_hull_fleet_submarine not in script_enum_equipment_bonus_type
[13:11:58][no_game_date][common/doctrines/subdoctrines/sea/navy_submarine_doctrines.txt:321]: Value does not belong to designated Script EnumType: ship_hull_cruiser_submarine not in script_enum_equipment_bonus_type
[13:11:58][no_game_date][common/doctrines/subdoctrines/sea/navy_submarine_doctrines.txt:325]: Value does not belong to designated Script EnumType: ship_hull_carrier_submarine not in script_enum_equipment_bonus_type
[13:11:58][no_game_date][common/doctrines/subdoctrines/sea/navy_submarine_doctrines.txt:334]: Value does not belong to designated Script EnumType: ship_hull_fleet_submarine not in script_enum_equipment_bonus_type
[13:11:58][no_game_date][common/doctrines/subdoctrines/sea/navy_submarine_doctrines.txt:339]: Value does not belong to designated Script EnumType: ship_hull_cruiser_submarine not in script_enum_equipment_bonus_type
[13:11:58][no_game_date][common/doctrines/subdoctrines/sea/navy_submarine_doctrines.txt:344]: Value does not belong to designated Script EnumType: ship_hull_carrier_submarine not in script_enum_equipment_bonus_type
[13:11:58][no_game_date][common/doctrines/subdoctrines/sea/navy_submarine_doctrines.txt:352]: Value does not belong to designated Script EnumType: ship_hull_fleet_submarine not in script_enum_equipment_bonus_type
[13:11:58][no_game_date][common/doctrines/subdoctrines/sea/navy_submarine_doctrines.txt:356]: Value does not belong to designated Script EnumType: ship_hull_cruiser_submarine not in script_enum_equipment_bonus_type
[13:11:58][no_game_date][common/doctrines/subdoctrines/sea/navy_submarine_doctrines.txt:360]: Value does not belong to designated Script EnumType: ship_hull_carrier_submarine not in script_enum_equipment_bonus_type
[13:11:58][no_game_date][trigger.cpp:700]: Invalid trigger 'WTT_is_chinese_country' in common/collections/collections.txt line : 127
[13:11:58][no_game_date][trigger.cpp:568]: Error: "Unknown trigger-type: WTT_is_chinese_country, near line: 127" in file: "common/collections/collections.txt" near line: 128
[13:11:58][no_game_date][gameitemdatabase.h:882]: Error: "Collection input type is empty: }, near line: 198" in file: "common/collections/collections.txt" near line: 198
[13:11:59][no_game_date][map.cpp:1779]: Province 11874 has TOO LARGE BOX. Perhaps pixels are spread around the world in provinces.bmp
[13:11:59][no_game_date][map.cpp:1791]: Province 12259 has only 4 pixels around (x=1894,y=1740). Should have at least 8
[13:11:59][no_game_date][map.cpp:1779]: Province 20847 has TOO LARGE BOX. Perhaps pixels are spread around the world in provinces.bmp
[13:11:59][no_game_date][map.cpp:1779]: Province 20850 has TOO LARGE BOX. Perhaps pixels are spread around the world in provinces.bmp
[13:11:59][no_game_date][map.cpp:1779]: Province 20851 has TOO LARGE BOX. Perhaps pixels are spread around the world in provinces.bmp
[13:11:59][no_game_date][map.cpp:1779]: Province 20852 has TOO LARGE BOX. Perhaps pixels are spread around the world in provinces.bmp
[13:11:59][no_game_date][map.cpp:1779]: Province 20853 has TOO LARGE BOX. Perhaps pixels are spread around the world in provinces.bmp
[13:11:59][no_game_date][map.cpp:1779]: Province 20854 has TOO LARGE BOX. Perhaps pixels are spread around the world in provinces.bmp
[13:11:59][no_game_date][map.cpp:1779]: Province 20855 has TOO LARGE BOX. Perhaps pixels are spread around the world in provinces.bmp
[13:11:59][no_game_date][map.cpp:1779]: Province 20856 has TOO LARGE BOX. Perhaps pixels are spread around the world in provinces.bmp
[13:11:59][no_game_date][map.cpp:1779]: Province 20857 has TOO LARGE BOX. Perhaps pixels are spread around the world in provinces.bmp
[13:11:59][no_game_date][map.cpp:1779]: Province 20858 has TOO LARGE BOX. Perhaps pixels are spread around the world in provinces.bmp
[13:11:59][no_game_date][map.cpp:1779]: Province 20859 has TOO LARGE BOX. Perhaps pixels are spread around the world in provinces.bmp
[13:11:59][no_game_date][map.cpp:1779]: Province 20860 has TOO LARGE BOX. Perhaps pixels are spread around the world in provinces.bmp
[13:11:59][no_game_date][map.cpp:1779]: Province 20861 has TOO LARGE BOX. Perhaps pixels are spread around the world in provinces.bmp
[13:11:59][no_game_date][map.cpp:1779]: Province 20862 has TOO LARGE BOX. Perhaps pixels are spread around the world in provinces.bmp
[13:11:59][no_game_date][map.cpp:1779]: Province 20863 has TOO LARGE BOX. Perhaps pixels are spread around the world in provinces.bmp
[13:11:59][no_game_date][map.cpp:1779]: Province 20864 has TOO LARGE BOX. Perhaps pixels are spread around the world in provinces.bmp
[13:11:59][no_game_date][map.cpp:1779]: Province 20865 has TOO LARGE BOX. Perhaps pixels are spread around the world in provinces.bmp
[13:11:59][no_game_date][technologytemplate.cpp:791]: Technology "concentrated_industry6" has two more outgoing xor paths in folder "industry_folder", only the first will be shown as XOR in the tree
[13:11:59][no_game_date][technologytemplate.cpp:791]: Technology "concentrated_industry8" has two more outgoing xor paths in folder "industry_folder", only the first will be shown as XOR in the tree
[13:12:00][no_game_date][pdx_parser.h:2201]: Error: "Collection input type is empty: collection:states_in_africa, near line: 310
Collection empty must define a name: collection:states_in_africa, near line: 310" in file: "common/factions/goals/faction_manifests.txt" near line: 310
[13:12:00][no_game_date][pdx_parser.h:2201]: Error: "Collection input type is empty: collection:faction_states_in_africa, near line: 311
Collection empty must define a name: collection:faction_states_in_africa, near line: 311" in file: "common/factions/goals/faction_manifests.txt" near line: 311
[13:12:00][no_game_date][faction_goal.cpp:85]: faction_manifest_african_domination: is_manifest is set, but ratio_progress is empty
[13:12:00][no_game_date][pdx_parser.h:2201]: Error: "Collection input type is empty: collection:states_in_americas, near line: 335
Collection empty must define a name: collection:states_in_americas, near line: 335" in file: "common/factions/goals/faction_manifests.txt" near line: 335
[13:12:00][no_game_date][pdx_parser.h:2201]: Error: "Collection input type is empty: collection:faction_states_in_americas, near line: 336
Collection empty must define a name: collection:faction_states_in_americas, near line: 336" in file: "common/factions/goals/faction_manifests.txt" near line: 336
[13:12:00][no_game_date][faction_goal.cpp:85]: faction_manifest_pan_americanism: is_manifest is set, but ratio_progress is empty
[13:12:00][no_game_date][pdx_parser.h:2201]: Error: "Collection input type is empty: collection:states_in_europe, near line: 362
Collection empty must define a name: collection:states_in_europe, near line: 362" in file: "common/factions/goals/faction_manifests.txt" near line: 362
[13:12:00][no_game_date][pdx_parser.h:2201]: Error: "Collection input type is empty: collection:faction_states_in_europe, near line: 363
Collection empty must define a name: collection:faction_states_in_europe, near line: 363" in file: "common/factions/goals/faction_manifests.txt" near line: 363
[13:12:00][no_game_date][faction_goal.cpp:85]: faction_manifest_european_dominance: is_manifest is set, but ratio_progress is empty
[13:12:00][no_game_date][pdx_parser.h:2201]: Error: "Collection input type is empty: collection:states_in_asia, near line: 392
Collection empty must define a name: collection:states_in_asia, near line: 392" in file: "common/factions/goals/faction_manifests.txt" near line: 392
[13:12:00][no_game_date][pdx_parser.h:2201]: Error: "Collection input type is empty: collection:faction_states_in_asia, near line: 393
Collection empty must define a name: collection:faction_states_in_asia, near line: 393" in file: "common/factions/goals/faction_manifests.txt" near line: 393
[13:12:00][no_game_date][faction_goal.cpp:85]: faction_manifest_asian_dominance: is_manifest is set, but ratio_progress is empty
[13:12:00][no_game_date][pdx_parser.h:2201]: Error: "Collection input type is empty: collection:states_in_middle_east, near line: 422
Collection empty must define a name: collection:states_in_middle_east, near line: 422" in file: "common/factions/goals/faction_manifests.txt" near line: 422
[13:12:00][no_game_date][pdx_parser.h:2201]: Error: "Collection input type is empty: collection:faction_states_in_middle_east, near line: 423
Collection empty must define a name: collection:faction_states_in_middle_east, near line: 423" in file: "common/factions/goals/faction_manifests.txt" near line: 423
[13:12:00][no_game_date][faction_goal.cpp:85]: faction_manifest_middle_east_dominance: is_manifest is set, but ratio_progress is empty
[13:12:00][no_game_date][pdx_parser.h:2201]: Error: "Collection input type is empty: collection:POL_between_the_seas_states, near line: 456
Collection empty must define a name: collection:POL_between_the_seas_states, near line: 456" in file: "common/factions/goals/faction_manifests.txt" near line: 456
[13:12:00][no_game_date][pdx_parser.h:2201]: Error: "Collection input type is empty: collection:controllable_central_powers_border_states, near line: 487
Collection empty must define a name: collection:controllable_central_powers_border_states, near line: 487" in file: "common/factions/goals/faction_manifests.txt" near line: 487
[13:12:00][no_game_date][pdx_parser.h:2201]: Error: "Collection input type is empty: collection:central_powers_controlled_central_powers_border_states, near line: 488
Collection empty must define a name: collection:central_powers_controlled_central_powers_border_states, near line: 488" in file: "common/factions/goals/faction_manifests.txt" near line: 488
[13:12:00][no_game_date][faction_goal.cpp:85]: faction_manifest_little_entente: is_manifest is set, but ratio_progress is empty
[13:12:00][no_game_date][pdx_parser.h:2201]: Error: "Collection input type is empty: collection:china_potential_core_states, near line: 523
Collection empty must define a name: collection:china_potential_core_states, near line: 523" in file: "common/factions/goals/faction_manifests.txt" near line: 523
[13:12:00][no_game_date][pdx_parser.h:2201]: Error: "Collection input type is empty: collection:china_core_states_controlled_by_faction_leader_ideology, near line: 524
Collection empty must define a name: collection:china_core_states_controlled_by_faction_leader_ideology, near line: 524" in file: "common/factions/goals/faction_manifests.txt" near line: 524
[13:12:00][no_game_date][faction_goal.cpp:85]: faction_manifest_china_territorial_integrity: is_manifest is set, but ratio_progress is empty
[13:12:00][no_game_date][pdx_parser.h:2201]: Error: "Collection input type is empty: collection:china_potential_core_states, near line: 551
Collection empty must define a name: collection:china_potential_core_states, near line: 551" in file: "common/factions/goals/faction_manifests.txt" near line: 551
[13:12:00][no_game_date][pdx_parser.h:2201]: Error: "Collection input type is empty: collection:china_core_states_controlled_by_faction_leader_ideology, near line: 552
Collection empty must define a name: collection:china_core_states_controlled_by_faction_leader_ideology, near line: 552" in file: "common/factions/goals/faction_manifests.txt" near line: 552
[13:12:00][no_game_date][faction_goal.cpp:85]: faction_manifest_china_territorial_integrity_chiang_upgraded: is_manifest is set, but ratio_progress is empty
[13:12:00][no_game_date][pdx_parser.h:2201]: Error: "Collection input type is empty: collection:china_potential_core_states, near line: 582
Collection empty must define a name: collection:china_potential_core_states, near line: 582" in file: "common/factions/goals/faction_manifests.txt" near line: 582
[13:12:00][no_game_date][pdx_parser.h:2201]: Error: "Collection input type is empty: collection:china_core_states_controlled_by_faction_leader_ideology, near line: 583
Collection empty must define a name: collection:china_core_states_controlled_by_faction_leader_ideology, near line: 583" in file: "common/factions/goals/faction_manifests.txt" near line: 583
[13:12:00][no_game_date][faction_goal.cpp:85]: faction_manifest_chinese_consolidation: is_manifest is set, but ratio_progress is empty
[13:12:00][no_game_date][pdx_parser.h:2201]: Error: "Collection input type is empty: collection:states_in_asia, near line: 611
Collection empty must define a name: collection:states_in_asia, near line: 611" in file: "common/factions/goals/faction_manifests.txt" near line: 611
[13:12:00][no_game_date][pdx_parser.h:2201]: Error: "Collection input type is empty: collection:states_in_asia_and_oceania, near line: 636
Collection empty must define a name: collection:states_in_asia_and_oceania, near line: 636" in file: "common/factions/goals/faction_manifests.txt" near line: 636
[13:12:00][no_game_date][pdx_parser.h:2201]: Error: "Collection input type is empty: collection:states_in_asia_and_oceania, near line: 663
Collection empty must define a name: collection:states_in_asia_and_oceania, near line: 663" in file: "common/factions/goals/faction_manifests.txt" near line: 663
[13:12:00][no_game_date][pdx_parser.h:2201]: Error: "Collection input type is empty: collection:countries_asia, near line: 701
Collection empty must define a name: collection:countries_asia, near line: 701" in file: "common/factions/goals/faction_manifests.txt" near line: 701
[13:12:00][no_game_date][pdx_parser.h:2201]: Error: "Collection input type is empty: collection:non_communist_or_capitulated_countries_asia, near line: 702
Collection empty must define a name: collection:non_communist_or_capitulated_countries_asia, near line: 702" in file: "common/factions/goals/faction_manifests.txt" near line: 702
[13:12:00][no_game_date][faction_goal.cpp:85]: faction_manifest_suppress_asian_communism: is_manifest is set, but ratio_progress is empty
[13:12:00][no_game_date][pdx_parser.h:2201]: Error: "Collection input type is empty: collection:controllable_balkan_states, near line: 762
Collection empty must define a name: collection:controllable_balkan_states, near line: 762" in file: "common/factions/goals/faction_manifests.txt" near line: 762
[13:12:00][no_game_date][pdx_parser.h:2201]: Error: "Collection input type is empty: collection:faction_controlled_balkan_states, near line: 763
Collection empty must define a name: collection:faction_controlled_balkan_states, near line: 763" in file: "common/factions/goals/faction_manifests.txt" near line: 763
[13:12:00][no_game_date][faction_goal.cpp:85]: faction_manifest_balkan_control: is_manifest is set, but ratio_progress is empty
[13:12:00][no_game_date][pdx_parser.h:2201]: Error: "Collection input type is empty: collection:african_states, near line: 791
Collection empty must define a name: collection:african_states, near line: 791" in file: "common/factions/goals/faction_manifests.txt" near line: 791
[13:12:00][no_game_date][pdx_parser.h:2201]: Error: "Collection input type is empty: collection:non_colonial_power_controlled_african_states, near line: 792
Collection empty must define a name: collection:non_colonial_power_controlled_african_states, near line: 792" in file: "common/factions/goals/faction_manifests.txt" near line: 792
[13:12:00][no_game_date][faction_goal.cpp:85]: faction_manifest_african_decolonization: is_manifest is set, but ratio_progress is empty
[13:12:00][no_game_date][pdx_parser.h:2201]: Error: "Collection input type is empty: collection:potential_habsburg_countries_total, near line: 819
Collection empty must define a name: collection:potential_habsburg_countries_total, near line: 819" in file: "common/factions/goals/faction_manifests.txt" near line: 819
[13:12:00][no_game_date][pdx_parser.h:2201]: Error: "Collection input type is empty: collection:habsburg_countries_in_our_faction, near line: 820
Collection empty must define a name: collection:habsburg_countries_in_our_faction, near line: 820" in file: "common/factions/goals/faction_manifests.txt" near line: 820
[13:12:00][no_game_date][faction_goal.cpp:85]: faction_manifest_habsburg_hegemony: is_manifest is set, but ratio_progress is empty
[13:12:00][no_game_date][pdx_parser.h:2201]: Error: "Collection input type is empty: collection:states_in_americas, near line: 848
Collection empty must define a name: collection:states_in_americas, near line: 848" in file: "common/factions/goals/faction_manifests.txt" near line: 848
[13:12:00][no_game_date][pdx_parser.h:2201]: Error: "Collection input type is empty: collection:faction_states_in_americas, near line: 849
Collection empty must define a name: collection:faction_states_in_americas, near line: 849" in file: "common/factions/goals/faction_manifests.txt" near line: 849
[13:12:00][no_game_date][faction_goal.cpp:85]: faction_manifest_amerindian_liberation: is_manifest is set, but ratio_progress is empty
[13:12:00][no_game_date][pdx_parser.h:2201]: Error: "Collection input type is empty: collection:all_islamic_countries, near line: 875
Collection empty must define a name: collection:all_islamic_countries, near line: 875" in file: "common/factions/goals/faction_manifests.txt" near line: 875
[13:12:00][no_game_date][pdx_parser.h:2201]: Error: "Collection input type is empty: collection:islamic_faction_members, near line: 876
Collection empty must define a name: collection:islamic_faction_members, near line: 876" in file: "common/factions/goals/faction_manifests.txt" near line: 876
[13:12:00][no_game_date][faction_goal.cpp:85]: faction_manifest_islamic_brotherhood: is_manifest is set, but ratio_progress is empty
[13:12:00][no_game_date][pdx_parser.h:2201]: Error: "Collection input type is empty: collection:states_in_the_baltics, near line: 901
Collection empty must define a name: collection:states_in_the_baltics, near line: 901" in file: "common/factions/goals/faction_manifests.txt" near line: 901
[13:12:00][no_game_date][pdx_parser.h:2201]: Error: "Collection input type is empty: collection:faction_states_in_the_baltics, near line: 902
Collection empty must define a name: collection:faction_states_in_the_baltics, near line: 902" in file: "common/factions/goals/faction_manifests.txt" near line: 902
[13:12:00][no_game_date][faction_goal.cpp:85]: faction_manifest_baltic_security: is_manifest is set, but ratio_progress is empty
[13:12:00][no_game_date][pdx_parser.h:2201]: Error: "Collection input type is empty: collection:states_in_the_nordics, near line: 928
Collection empty must define a name: collection:states_in_the_nordics, near line: 928" in file: "common/factions/goals/faction_manifests.txt" near line: 928
[13:12:00][no_game_date][pdx_parser.h:2201]: Error: "Collection input type is empty: collection:faction_states_in_the_nordics, near line: 929
