
units= {
	fleet = {
		name = "Battle Force"			
		naval_base = 12651
		task_force = {
			ship = { name = "KTS Gelsenkitten" definition = heavy_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = NAV } } } # Gelsenkirchen + Kitten
			ship = { name = "KTS Mönchcatbach" definition = heavy_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = NAV } } } # Mönchengladbach + Cat

			# --- Heavy Cruisers (32) ---
			ship = { name = "KTS Braunsilent" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = NAV } } } # Braunschweig + Silent
			ship = { name = "KTS Chemnip" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = NAV } } } # Chemnitz + Catnip
			ship = { name = "KTS Kieline" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = NAV } } } # Kiel + Feline
			ship = { name = "KTS Aachenap" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = NAV } } } # Aachen + Nap
			ship = { name = "KTS Halleow" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = NAV } } } # Halle + Meow
			ship = { name = "KTS Magdeclaw" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = NAV } } } # Magdeburg + Claw
			ship = { name = "KTS Furtburg" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = NAV } } } # Freiburg + Fur/Furt (Crossing)
			ship = { name = "KTS Klawfeld" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = NAV } } } # Krefeld + Claw
			ship = { name = "KTS Lübeckat" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = NAV } } } # Lübeck + Cat
			ship = { name = "KTS Oberhiss" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = NAV } } } # Oberhausen + Hiss
			ship = { name = "KTS Erfurrt" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = NAV } } } # Erfurt + Purr
			ship = { name = "KTS Meownz" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = NAV } } } # Mainz + Meow
			ship = { name = "KTS Roscratch" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = NAV } } } # Rostock + Scratch
			ship = { name = "KTS Kasselkynx" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = NAV } } } # Kassel + Lynx
			ship = { name = "KTS Hissgen" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = NAV } } } # Hagen + Hiss
			ship = { name = "KTS Hammew" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = NAV } } } # Hamm + Mew
			ship = { name = "KTS Saarbrückenip" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = NAV } } } # Saarbrücken + Catnip
			ship = { name = "KTS Mülhiss" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = NAV } } } # Mülheim + Hiss
			ship = { name = "KTS Pawtsdamm" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = NAV } } } # Potsdam + Paw
			ship = { name = "KTS Ludwigshavenap" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = NAV } } } # Ludwigshafen + Nap
			ship = { name = "KTS Oldenpurr" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = NAV } } } # Oldenburg + Purr
			ship = { name = "KTS Osnabrücklaw" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = NAV } } } # Osnabrück + Claw
			ship = { name = "KTS Leverkusleep" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = NAV } } } # Leverkusen + Sleep
			ship = { name = "KTS Heidelpurr" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = NAV } } } # Heidelberg + Purr
			ship = { name = "KTS Solingenyx" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = NAV } } } # Solingen + Lynx
			ship = { name = "KTS Darmstadtabby" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = NAV } } } # Darmstadt + Tabby
			ship = { name = "KTS Herneow" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = NAV } } } # Herne + Meow
			ship = { name = "KTS Neussleep" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = NAV } } } # Neuss + Sleep
			ship = { name = "KTS Regenspurrg" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = NAV } } } # Regensburg + Purr
			ship = { name = "KTS Paderpaw" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = NAV } } } # Paderborn + Paw
			ship = { name = "KTS Ingolstab" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = NAV } } } # Ingolstadt + Tabby
			ship = { name = "KTS Offenblack" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = NAV } } } # Offenbach + Black

			# --- Light Cruisers (58) ---
			ship = { name = "KTS Würzpurrg" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Würzburg + Purr
			ship = { name = "KTS Fürthline" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Fürth + Feline
			ship = { name = "KTS Ulmew" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Ulm + Mew
			ship = { name = "KTS Heilbronnap" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Heilbronn + Nap
			ship = { name = "KTS Pforzhiss" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Pforzheim + Hiss
			ship = { name = "KTS Wolfsburgin" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Wolfsburg + Ginger
			ship = { name = "KTS Göttingrowl" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Göttingen + Growl
			ship = { name = "KTS Bottropaw" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Bottrop + Paw
			ship = { name = "KTS Trieriger" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Trier + Tiger
			ship = { name = "KTS Recklingclawsen" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Recklinghausen + Claw
			ship = { name = "KTS Reutlingnap" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Reutlingen + Nap
			ship = { name = "KTS Bremerhavenip" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Bremerhaven + Catnip
			ship = { name = "KTS Koblenzitten" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Koblenz + Kitten
			ship = { name = "KTS Bergischkatbach" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Bergisch Gladbach + Kat
			ship = { name = "KTS Jenapurr" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Jena + Purr
			ship = { name = "KTS Remscheidow" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Remscheid + Shadow
			ship = { name = "KTS Erlangenine" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Erlangen + Feline
			ship = { name = "KTS Moerscratch" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Moers + Scratch
			ship = { name = "KTS Siegenap" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Siegen + Nap
			ship = { name = "KTS Hildesheimew" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Hildesheim + Mew
			ship = { name = "KTS Salzgitterux" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Salzgitter + Tuxedo
			ship = { name = "KTS Cottbuscratch" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Cottbus + Scratch
			ship = { name = "KTS Kaiserslautlion" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Kaiserslautern + Lion
			ship = { name = "KTS Gütersleep" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Gütersloh + Sleep
			ship = { name = "KTS Schwerinyx" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Schwerin + Lynx
			ship = { name = "KTS Whittenscratch" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Witten + Scratch
			ship = { name = "KTS Hanaupounce" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Hanau + Pounce
			ship = { name = "KTS Ludwigsfurrg" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Ludwigsburg + Fur
			ship = { name = "KTS Esslingnap" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Esslingen + Nap
			ship = { name = "KTS Iserlion" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Iserlohn + Lion
			ship = { name = "KTS Dürenap" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Düren + Nap
			ship = { name = "KTS Tübingrowl" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Tübingen + Growl
			ship = { name = "KTS Zwicklaw" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Zwickau + Claw
			ship = { name = "KTS Flenspurr" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Flensburg + Purr
			ship = { name = "KTS Gießnap" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Gießen + Nap
			ship = { name = "KTS Ratingenip" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Ratingen + Catnip
			ship = { name = "KTS Marline" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Marl + Feline
			ship = { name = "KTS Lünenyx" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Lünen + Lynx
			ship = { name = "KTS Villingenap" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Villingen-Schwenningen + Nap
			ship = { name = "KTS Konstanceow" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Konstanz + Meow
			ship = { name = "KTS Wormouser" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Worms + Mouser
			ship = { name = "KTS Velvetbert" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Velbert + Velvet
			ship = { name = "KTS Minxden" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Minden + Lynx
			ship = { name = "KTS Dessaurowl" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Dessau + Growl
			ship = { name = "KTS Neumünstalker" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Neumünster + Stalker
			ship = { name = "KTS Norderscratch" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Norderstedt + Scratch
			ship = { name = "KTS Delmenpurrst" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Delmenhorst + Purr
			ship = { name = "KTS Viersnap" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Viersen + Nap
			ship = { name = "KTS Wilhelmsnapen" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Wilhelmshaven + Nap
			ship = { name = "KTS Marburgin" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Marburg + Ginger
			ship = { name = "KTS Rheineow" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Rheine + Meow
			ship = { name = "KTS Gladbeckat" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Gladbeck + Cat
			ship = { name = "KTS Lünekitten" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Lüneburg + Kitten
			ship = { name = "KTS Troisdorfur" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Troisdorf + Fur
			ship = { name = "KTS Dorstenap" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Dorsten + Nap
			ship = { name = "KTS Bayreuthiger" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Bayreuth + Tiger
			ship = { name = "KTS Detmoldcat" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = NAV } } } # Detmold + Cat

			# --- Destroyers (120) ---
			ship = { name = "KTS Arnsbergrowl" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Arnsberg + Growl
			ship = { name = "KTS Castrop-Rauxelkit" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Castrop-Rauxel + Kit
			ship = { name = "KTS Landshutabby" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Landshut + Tabby
			ship = { name = "KTS Aschaffenpurrg" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Aschaffenburg + Purr
			ship = { name = "KTS Bambergrowl" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Bamberg + Growl
			ship = { name = "KTS Brandenburgermeow" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Brandenburg + Meow
			ship = { name = "KTS Cellcat" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Celle + Cat
			ship = { name = "KTS Kemptenyx" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Kempten + Lynx
			ship = { name = "KTS Fuldatom" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Fulda + Tom
			ship = { name = "KTS Lippstadtabby" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Lippstadt + Tabby
			ship = { name = "KTS Dinslakenap" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Dinslaken + Nap
			ship = { name = "KTS Herfurtom" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Herford + Tom
			ship = { name = "KTS Kerpenkit" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Kerpen + Kit
			ship = { name = "KTS Rüsselsheimrowl" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Rüsselsheim + Growl
			ship = { name = "KTS Weimarcat" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Weimar + Cat
			ship = { name = "KTS Sindelfingenyx" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Sindelfingen + Lynx
			ship = { name = "KTS Neuwiedcat" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Neuwied + Cat
			ship = { name = "KTS Dormagenip" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Dormagen + Catnip
			ship = { name = "KTS Grevenbroichat" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Grevenbroich + Chat
			ship = { name = "KTS Rosenhiss" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Rosenheim + Hiss
			ship = { name = "KTS Hertencat" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Herten + Cat
			ship = { name = "KTS Weselion" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Wesel + Lion
			ship = { name = "KTS Garbsenap" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Garbsen + Nap
			ship = { name = "KTS Bergheimew" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Bergheim + Mew
			ship = { name = "KTS Schwäbisch Gmeownd" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Schwäbisch Gmünd + Meow
			ship = { name = "KTS Unnapounce" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Unna + Pounce
			ship = { name = "KTS Hürthline" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Hürth + Feline
			ship = { name = "KTS Friedrichshavenap" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Friedrichshafen + Nap
			ship = { name = "KTS Offenburglion" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Offenburg + Lion
			ship = { name = "KTS Stralsundcat" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Stralsund + Cat
			ship = { name = "KTS Langenfeldmeow" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Langenfeld + Meow
			ship = { name = "KTS Greifswaldcat" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Greifswald + Cat
			ship = { name = "KTS Neu-Ulmine" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Neu-Ulm + Feline
			ship = { name = "KTS Göppingenap" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Göppingen + Nap
			ship = { name = "KTS Euskirchenyx" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Euskirchen + Lynx
			ship = { name = "KTS Stolbergcat" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Stolberg + Cat
			ship = { name = "KTS Hamelnyx" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Hameln + Lynx
			ship = { name = "KTS Eschweilercat" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Eschweiler + Cat
			ship = { name = "KTS Sankt Augustinyx" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Sankt Augustin + Lynx
			ship = { name = "KTS Görlitzcat" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Görlitz + Cat
			ship = { name = "KTS Hildenap" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Hilden + Nap
			ship = { name = "KTS Meerbuschcat" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Meerbusch + Cat
			ship = { name = "KTS Hattingenap" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Hattingen + Nap
			ship = { name = "KTS Waiblingenyx" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Waiblingen + Lynx
			ship = { name = "KTS Pulheimcat" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Pulheim + Cat
			ship = { name = "KTS Baden-Badenap" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Baden-Baden + Nap
			ship = { name = "KTS Mendencat" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Menden + Cat
			ship = { name = "KTS Bad Salzuflenyx" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Bad Salzuflen + Lynx
			ship = { name = "KTS Langenhagencat" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Langenhagen + Cat
			ship = { name = "KTS Nordhornap" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Nordhorn + Nap
			ship = { name = "KTS Neustadt-Weinstrasseline" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Neustadt an der Weinstraße + Feline
			ship = { name = "KTS Ahlenyx" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Ahlen + Lynx
			ship = { name = "KTS Wolfenbüttelcat" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Wolfenbüttel + Cat
			ship = { name = "KTS Frechenyx" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Frechen + Lynx
			ship = { name = "KTS Schweinfurtom" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Schweinfurt + Tom
			ship = { name = "KTS Wetzlarcat" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Wetzlar + Cat
			ship = { name = "KTS Ibbenbürenyx" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Ibbenbüren + Lynx
			ship = { name = "KTS Goslarcat" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Goslar + Cat
			ship = { name = "KTS Willichat" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Willich + Chat
			ship = { name = "KTS Emdenyx" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Emden + Lynx
			ship = { name = "KTS Passaurowl" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Passau + Growl
			ship = { name = "KTS Speyercat" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Speyer + Cat
			ship = { name = "KTS Gummersbachyx" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Gummersbach + Lynx
			ship = { name = "KTS Erftstadtabby" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Erftstadt + Tabby
			ship = { name = "KTS Lingencat" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Lingen + Cat
			ship = { name = "KTS Bad Homburgrowl" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Bad Homburg + Growl
			ship = { name = "KTS Cuxhavenap" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Cuxhaven + Nap
			ship = { name = "KTS Ravenspurrg" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Ravensburg + Purr
			ship = { name = "KTS Klevecat" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Kleve + Cat
			ship = { name = "KTS Soestyx" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Soest + Lynx
			ship = { name = "KTS Peineow" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Peine + Meow
			ship = { name = "KTS Böblingenap" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Böblingen + Nap
			ship = { name = "KTS Rastattiger" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Rastatt + Tiger
			ship = { name = "KTS Heidenheimew" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = NAV } } } # Heidenheim + Mew
