##### Division Templates #####
division_template = {
	name = "Amphibian Liberation Troops"
	regiments = {
		infantry = { x = 0 y = 0 }
		infantry = { x = 0 y = 1 }
		infantry = { x = 0 y = 2 }
		infantry = { x = 1 y = 0 }
		infantry = { x = 1 y = 1 }
		infantry = { x = 1 y = 2 }
		artillery_brigade = { x = 2 y = 0 }
		anti_tank_brigade = { x = 2 y = 1 }
	}
	support = {
		artillery = { x = 0 y = 0 }
		engineer = { x = 0 y = 1 }
		recon = { x = 0 y = 2 }
	}
}

division_template = {
	name = "Garnison"
	regiments = {
		infantry = { x = 0 y = 0 }
		infantry = { x = 0 y = 1 }
		infantry = { x = 0 y = 2 }
		infantry = { x = 1 y = 0 }
		infantry = { x = 1 y = 1 }
		infantry = { x = 1 y = 2 }
		infantry = { x = 2 y = 0 }
		infantry = { x = 2 y = 1 }
		infantry = { x = 2 y = 2 }
		infantry = { x = 3 y = 0 }
		infantry = { x = 3 y = 1 }
		infantry = { x = 3 y = 2 }
	}
}

units = {
	# === Border troops - lined up along the ACR-FOD front (60 divisions) ===

	# State 149 border (section 1)
	division = { location = 9756 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }

	# State 1052 border (section 1)
	division = { location = 10038 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 10038 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 10284 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 10284 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 10938 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }

	# State 1052 border (section 2)
	division = { location = 16077 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 16077 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 16325 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 16325 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 16406 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }

	# State 1052 border (section 3 - all 7 border provinces already covered above, distributing remaining)
	division = { location = 16475 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 16475 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 16475 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 10038 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 16077 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }

	# State 183 border
	division = { location = 15929 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 15929 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 15929 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 15929 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 15929 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }

	# State 1321 border (province 1296 is the only border province in this state)
	division = { location = 1296 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 1296 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 1296 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 1296 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 1296 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }

	# === Garnison - stationed in every VP and port province ===

	# State 149 - VP: 14948
	division = { location = 14948 division_template = "Garnison" start_experience_factor = 0.1 }

	# State 176 - VPs: 8389, 2703
	division = { location = 8389 division_template = "Garnison" start_experience_factor = 0.1 }
	division = { location = 2703 division_template = "Garnison" start_experience_factor = 0.1 }

	# State 203 - VP: 8125
	division = { location = 8125 division_template = "Garnison" start_experience_factor = 0.1 }

	# State 216 - VP: 16167
	division = { location = 16167 division_template = "Garnison" start_experience_factor = 0.1 }

	# State 219 - VP: 16338
	division = { location = 16338 division_template = "Garnison" start_experience_factor = 0.1 }

	# State 226 - VP: 8957
	division = { location = 8957 division_template = "Garnison" start_experience_factor = 0.1 }

	# State 227 - VP: 2973
	division = { location = 2973 division_template = "Garnison" start_experience_factor = 0.1 }

	# State 266 - VPs: 2953, 6101, 2213 (also ports)
	division = { location = 2953 division_template = "Garnison" start_experience_factor = 0.1 }
	division = { location = 6101 division_template = "Garnison" start_experience_factor = 0.1 }
	division = { location = 2213 division_template = "Garnison" start_experience_factor = 0.1 }

	# State 1048 - VP: 15488
	division = { location = 15488 division_template = "Garnison" start_experience_factor = 0.1 }

	# State 1052 - VPs: 16332, 16776
	division = { location = 16332 division_template = "Garnison" start_experience_factor = 0.1 }
	division = { location = 16776 division_template = "Garnison" start_experience_factor = 0.1 }

	# State 1053 - VPs: 16801, 16486, 6327
	division = { location = 16801 division_template = "Garnison" start_experience_factor = 0.1 }
	division = { location = 16486 division_template = "Garnison" start_experience_factor = 0.1 }
	division = { location = 6327 division_template = "Garnison" start_experience_factor = 0.1 }

	# State 1054 - VP: 16487
	division = { location = 16487 division_template = "Garnison" start_experience_factor = 0.1 }

	# State 1325 - VPs: 16889, 16575
	division = { location = 16889 division_template = "Garnison" start_experience_factor = 0.1 }
	division = { location = 16575 division_template = "Garnison" start_experience_factor = 0.1 }

	# State 1326 - VP: 4371
	division = { location = 4371 division_template = "Garnison" start_experience_factor = 0.1 }

	# State 1327 - VP: 17003 (also port)
	division = { location = 17003 division_template = "Garnison" start_experience_factor = 0.1 }
}

instant_effect = {
	add_equipment_production = {
		equipment = {
			type = infantry_equipment_1
			creator = "ACR"
		}
		requested_factories = 2
		progress = 0.3
		efficiency = 50
	}
	add_equipment_production = {
		equipment = {
			type = support_equipment_1
			creator = "ACR"
		}
		requested_factories = 1
		progress = 0.3
		efficiency = 50
	}
	add_equipment_production = {
		equipment = {
			type = motorized_equipment_1
			creator = "ACR"
		}
		requested_factories = 2
		progress = 0.3
		efficiency = 50
	}
}
