units= {
	fleet = {
		name = "Galletian Bay Flotilla"
		naval_base = 10166
		task_force = {
			ship = { name = "GDF Xeirko II" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Aelveahein III" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Crumbrid III" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Dourouhteid III" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Dahdaehrei III" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Bakecelona III" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Zaradoughza III" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = GAL } } }

			# --- Submarines (11) ---
			ship = { name = "GDF San-Sebakestian III" definition = submarine equipment = { submarine_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Valledupèr III" definition = submarine equipment = { submarine_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Medoughlin III" definition = submarine equipment = { submarine_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Baguetta III" definition = submarine equipment = { submarine_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Bakecaramangé III" definition = submarine equipment = { submarine_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Armealnia III" definition = submarine equipment = { submarine_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Rhayman III" definition = submarine equipment = { submarine_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Mahin Geh III" definition = submarine equipment = { submarine_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Cookartagena III" definition = submarine equipment = { submarine_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Churrilbao III" definition = submarine equipment = { submarine_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Xeirko III" definition = submarine equipment = { submarine_1 = { amount = 1 owner = GAL } } }
		}
	}
}

#########################
## STARTING PRODUCTION ##
#########################
instant_effect = {
}
