state_id,file,owner,population_k,category,species_shares,culture_shares,politics,warnings
37,37-State_37.txt,PTQ,2258.667,town,1:0.739676;4:0.260324,4:1.000000,1:0.056953;2:0.020182;6:0.922865,
38,38-State_38.txt,SIL,4100.0,town,1:1.000000,21:1.000000,2:0.000010;5:0.999884;8:0.000106,
39,39-State_39.txt,SIL,7500.0,large_city,1:1.000000,1:0.489684;21:0.510316,2:0.106075;6:0.893925,
40,40-State_40.txt,FRA,3900.0,large_town,1:1.000000,39:1.000000,2:0.129735;4:0.364191;6:0.506074,
41,41-State_41.txt,NEU,6800.0,city,1:1.000000,21:0.513379;39:0.486621,6:0.118167;7:0.268686;8:0.613147,
42,42-State_42.txt,SIL,9200.0,large_city,1:1.000000,1:0.534971;21:0.465029,2:0.019282;3:0.118595;7:0.862123,
43,43-State_43.txt,SIL,1350.0,rural,1:1.000000,21:0.402976;40:0.597024,6:0.490012;7:0.509988,
44,44-State_44.txt,SIL,24000.0,megalopolis,1:1.000000,1:1.000000,3:0.103194;7:0.896806,
45,45-State_45.txt,SIL,26500.0,megalopolis,1:1.000000,1:1.000000,0:0.048727;4:0.038481;8:0.912792,
47,47-State_47.txt,SIL,2200.0,town,1:1.000000,21:0.484507;3:0.515493,3:0.181294;6:0.685788;8:0.132919,
48,48-State_48.txt,FRA,2100.0,town,1:1.000000,27:0.563504;39:0.436496,2:0.109499;3:0.212349;4:0.678152,
49,49-State_49.txt,NKC,5670.0,large_town,5:1.000000,74:1.000000,6:0.148602;7:0.851398,
50,50-State_50.txt,SIL,11500.0,large_city,1:1.000000,1:0.549699;21:0.450301,2:0.016388;6:0.275623;8:0.707989,
51,51-Pierwysp.txt,MER,350.0,town,29:1.000000,68:1.000000,7:0.950681;8:0.049319,
52,52-Or Tigas.txt,KOL,220.0,pastoral,58:1.000000,55:1.000000,0:0.232749;6:0.767251,
54,54-State_54.txt,PTQ,1940.0,rural,1:0.632064;4:0.367936,4:1.000000,0:0.855689;2:0.144311,
55,55-Duuhr Sanctuary.txt,DUR,5000.0,town,50:1.000000,52:1.000000,9:1.000000,
56,56-Fajnawysp.txt,MER,550.0,town,29:1.000000,68:1.000000,0:0.214957;1:0.003097;6:0.781946,
57,57-State_57.txt,SIL,2500.0,town,1:1.000000,21:0.462879;3:0.537121,2:0.119878;3:0.880122,
58,58-State_58.txt,FRA,5700.0,city,1:1.000000,39:1.000000,1:0.062681;2:0.273090;6:0.664228,
59,59-State_59.txt,KOL,370.0,pastoral,58:1.000000,53:1.000000,6:0.009267;7:0.990733,
60,60-State_60.txt,NAV,4250.0,metropolis,1:1.000000,27:1.000000,6:0.178044;7:0.821956,
62,62-State_62.txt,PAW,2387.5,large_town,1:1.000000,40:1.000000,4:0.260860;8:0.739140,
65,65-State_65.txt,CLE,1434.285,town,1:1.000000,3:1.000000,0:0.357505;7:0.642495,
66,66-State_66.txt,CLE,3200.0,large_town,1:0.763879;11:0.236121,3:1.000000,3:0.120850;8:0.879150,
67,67-Drugirafa.txt,MER,630.0,town,29:1.000000,68:1.000000,3:0.000034;7:0.999966,
68,68-State_68.txt,ENO,12.0,pastoral,27:1.000000,,1:0.381626;5:0.618374,no resolvable starting species/culture; relevant array left all-zero
69,69-Clawlingen.txt,TAI,1414.736,city,1:1.000000,3:1.000000,3:0.024258;7:0.628001;8:0.347741,
70,70-State_70.txt,PTQ,2460.0,rural,1:1.000000,4:1.000000,0:0.015507;2:0.012907;6:0.971586,
71,71-State_71.txt,TEM,3252.632,large_town,27:1.000000,82:1.000000,6:0.233406;8:0.766594,
73,73-State_73.txt,DUR,5000.0,rural,50:1.000000,52:1.000000,9:1.000000,
74,74-State_74.txt,CLE,1738.462,large_town,1:1.000000,3:1.000000,1:0.294953;7:0.705047,
76,76-State_76.txt,FOD,4765.388,city,24:0.789656;1:0.210344,81:1.000000,3:0.029472;8:0.970528,
78,78-Tigar.txt,TAI,1173.333,rural,1:1.000000,3:1.000000,3:0.133467;7:0.866533,
79,79-Clawsoule.txt,NKB,1631.25,pastoral,1:1.000000,39:1.000000,3:0.016834;5:0.260075;7:0.723091,
80,80-Treciakraina.txt,MER,420.0,town,29:1.000000,68:1.000000,5:0.656433;6:0.343567,
82,82-Mount Fleather.txt,FLE,1254.279,town,28:0.627323;1:0.372677,77:1.000000,3:0.461538;4:0.276923;6:0.261538,
83,83-State_83.txt,SOB,240.0,small_island,2:1.000000,5:1.000000,2:0.126847;6:0.873153,
84,84-Mousing.txt,TAI,1296.842,large_town,1:1.000000,3:1.000000,4:0.121154;7:0.878846,
85,85-State_85.txt,MEC,5700.0,metropolis,1:0.765660;9:0.234340,29:1.000000,2:0.140000;6:0.280000;7:0.580000,
87,87-State_87.txt,OST,747.5,large_town,1:0.611368;9:0.388632,25:1.000000,3:0.040301;6:0.365776;7:0.593923,
88,88-State_88.txt,PTQ,2540.0,town,1:1.000000,4:1.000000,0:0.452482;2:0.547518,
89,89-State_89.txt,OST,1140.0,town,1:1.000000,25:1.000000,6:0.695517;7:0.304483,
90,90-State_90.txt,ELO,4700.0,large_city,1:1.000000,3:1.000000,1:0.267441;2:0.035907;6:0.696652,
91,91-North Fleatherclaw.txt,FLM,58.19,rural,28:0.791964;1:0.208036,77:1.000000,0:0.181818;1:0.181818;8:0.636364,
93,93-State_93.txt,FOD,1726.833,large_town,24:0.647897;1:0.352103,81:1.000000,3:0.016261;8:0.983739,
94,94-State_94.txt,AUR,1389.473,large_town,1:1.000000,3:1.000000,1:0.330073;7:0.669927,
95,95-State_95.txt,STR,1960.0,rural,1:1.000000,24:0.431994;4:0.568006,2:0.023166;5:0.976834,
96,96-STATE_1575.txt,MCF,1371.241,rural,13:0.640542;0:0.359458,11:1.000000,6:0.485105;7:0.514895,
97,97-State_97.txt,OST,415.0,rural,1:1.000000,25:1.000000,3:0.090663;4:0.063947;7:0.845391,
98,98-State_98.txt,STR,2700.0,town,1:1.000000,24:0.469385;4:0.530615,2:0.044709;5:0.955291,
99,99-State_99.txt,OST,648.148,town,1:1.000000,25:0.591029;41:0.408971,3:0.303424;4:0.696576,
100,100-South Fleatherclaw.txt,FLS,149.809,rural,28:0.740532;1:0.259468,77:1.000000,2:0.409091;3:0.136364;7:0.454545,
103,103-State_103.txt,STR,2200.0,town,1:1.000000,24:1.000000,2:0.040512;5:0.959488,
104,104-State_104.txt,STR,2300.0,town,1:1.000000,24:1.000000,1:0.018735;2:0.035486;5:0.945779,
105,105-State_105.txt,KKN,1505.693,large_town,1:0.736008;7:0.263992,82:1.000000,5:0.136154;8:0.863846,
106,106-State_106.txt,AUR,991.305,town,1:1.000000,3:0.516370;42:0.483630,0:0.932033;6:0.028290;8:0.039677,
108,108-State_108.txt,WAC,4181.333,large_town,1:0.687756;7:0.312244,82:1.000000,1:0.843427;3:0.026425;7:0.130148,
109,109-State_109.txt,WAC,1400.0,wasteland,1:0.690140;7:0.309860,82:1.000000,1:0.626416;5:0.307024;7:0.066560,
110,110-State_110.txt,MEW,7000.0,city,1:1.000000,25:0.432558;24:0.567442,0:0.932571;1:0.064157;4:0.003271,
111,111-State_111.txt,STR,2500.0,town,1:1.000000,24:1.000000,2:0.002212;5:0.522028;6:0.475760,
113,113-State_113.txt,MEW,5000.0,town,1:1.000000,24:1.000000,0:0.714465;2:0.285535,
115,115-State_115.txt,PRL,4800.0,town,1:1.000000,42:1.000000,3:0.690855;7:0.309145,
116,116-State_116.txt,AUR,4987.826,large_city,1:1.000000,42:1.000000,4:0.057720;7:0.358429;8:0.583852,
117,117-State_117.txt,WAC,2110.769,town,1:0.774350;7:0.225650,82:1.000000,1:0.873511;4:0.016278;7:0.110211,
118,118-Solagnaw.txt,WPR,738.636,large_town,1:1.000000,25:1.000000,1:1.000000,
119,119-Katzil.txt,WPR,2000.0,town,1:1.000000,41:1.000000,3:0.047745;5:0.151813;7:0.800442,
120,120-State_120.txt,KKN,2880.059,large_town,7:0.641250;1:0.358750,82:1.000000,3:0.034584;8:0.965416,
121,121-State_121.txt,STR,2320.0,town,1:1.000000,24:1.000000,1:0.469022;2:0.325909;8:0.205069,
122,122-State_122.txt,MEW,3400.0,town,1:1.000000,25:1.000000,0:0.524570;3:0.050136;7:0.425294,
123,123-State_123.txt,KKN,1950.858,town,1:0.678012;7:0.321988,82:1.000000,7:0.099140;8:0.900860,
124,124-State_124.txt,KKN,817.61,town,7:0.742910;1:0.257090,82:1.000000,3:1.000000,
128,128-State_128.txt,KKN,2699.787,town,7:0.798189;1:0.201811,82:1.000000,4:0.006966;8:0.993034,
131,131-State_131.txt,LIO,1530.0,town,1:1.000000,24:1.000000,3:0.000239;6:0.946709;8:0.053052,
132,132-State_132.txt,LIO,3700.0,rural,1:1.000000,24:1.000000,3:0.000418;6:0.801749;8:0.197833,
133,133-Meterhills.txt,WPR,412.903,rural,1:1.000000,41:1.000000,2:0.542297;7:0.457703,
135,135-State_135.txt,LIO,1500.0,pastoral,1:1.000000,41:1.000000,6:1.000000,
136,136-Western_Grand_Hills.txt,WPR,1061.224,town,1:1.000000,41:1.000000,3:0.462972;4:0.537028,
138,138-State_138.txt,PRL,2300.0,large_town,1:1.000000,41:0.433319;2:0.566681,3:0.795905;6:0.204095,
140,140-Itchiloo.txt,PRL,985.0,town,1:1.000000,2:1.000000,2:0.154966;3:0.845034,
142,142-Cuddlezone.txt,WPR,2500.0,town,1:1.000000,41:1.000000,0:0.203559;3:0.208740;6:0.587701,
143,143-State_143.txt,WAC,1400.0,rural,1:0.652084;58:0.347916,82:1.000000,1:0.810908;4:0.019370;7:0.169722,
146,146-State_146.txt,KPK,2226.0,city,1:0.702460;7:0.297540,75:1.000000,1:0.538462;4:0.461538,
147,147-State_147.txt,RST,2360.0,town,3:1.000000,67:1.000000,1:0.983260;3:0.016740,
149,149-State_149.txt,ACR,2596.173,town,24:1.000000,83:1.000000,2:0.566877;3:0.433123,culture missing; inherited owner modal culture 83
151,151-State_151.txt,BRA,1700.0,town,10:1.000000,70:1.000000,0:0.499117;1:0.500883,
152,152-STATE_1574.txt,ACR,1140.567,town,24:1.000000,81:1.000000,1:0.916638;3:0.083362,
153,153-State_153.txt,LIO,1700.0,rural,1:1.000000,44:1.000000,4:0.000743;6:0.999257,
156,156-State_156.txt,PRL,1425.806,large_town,1:1.000000,2:1.000000,3:0.774779;6:0.088666;7:0.136555,
159,159-State_159.txt,LIO,2420.0,large_town,1:1.000000,44:1.000000,4:0.000152;6:0.517653;7:0.482195,
161,161-Vhi Gherizad.txt,KOL,240.0,rural,58:1.000000,55:1.000000,4:0.056188;6:0.006680;7:0.937132,
165,165-State_165.txt,NMI,8900.0,city,8:0.705399;1:0.294601,52:0.414124;75:0.585876,9:1.000000,
166,166-State_166.txt,FOD,2718.393,town,7:0.719359;1:0.280641,81:1.000000,3:0.020068;7:0.096194;8:0.883739,
168,168-State_168.txt,CAT,3620.689,large_town,1:1.000000,44:1.000000,3:0.162500;4:0.741987;6:0.095513,
169,169-State_169.txt,CAT,1250.0,pastoral,1:1.000000,44:1.000000,3:0.133945;4:0.866055,
171,171-State_171.txt,EUL,3920.0,town,7:1.000000,,1:0.550000;2:0.212143;3:0.237857,no resolvable starting species/culture; relevant array left all-zero
173,173-State_173.txt,PRL,15000.0,metropolis,1:1.000000,2:1.000000,2:0.043665;3:0.799268;6:0.157067,
174,174-State_174.txt,LIO,1907.142,city,1:1.000000,45:0.426426;44:0.573574,3:0.000497;6:0.999503,
176,176-STATE_1573.txt,ACR,1282.013,large_town,24:1.000000,83:1.000000,1:1.000000,culture missing; inherited owner modal culture 83
177,177-State_177.txt,CAT,2215.152,large_city,1:1.000000,43:1.000000,4:0.698717;6:0.301283,
179,179-State_179.txt,RST,2600.0,town,3:1.000000,67:1.000000,1:0.792384;3:0.019496;4:0.188119,
183,183-State_183.txt,ACR,497.0,city,1:0.759428;7:0.240572,83:1.000000,1:0.874547;2:0.081646;3:0.043807,
188,188-State_188.txt,BRA,1470.0,town,10:1.000000,70:1.000000,3:0.020501;4:0.979499,
189,189-State_189.txt,RST,1930.0,town,3:1.000000,67:1.000000,1:1.000000,
191,191-State_191.txt,PRL,1400.0,town,1:0.700968;3:0.299032,2:1.000000,3:0.746159;6:0.253841,
192,192-State_192.txt,PRL,6800.0,large_city,1:0.708804;9:0.291196,2:1.000000,0:0.006945;3:0.859938;7:0.133117,
197,197-State_197.txt,MEO,1200.0,large_town,1:0.704589;7:0.295411,45:1.000000,6:0.011658;7:0.988342,
200,200-State_200.txt,FOD,3930.3,town,7:0.666490;1:0.333510,81:1.000000,4:0.079472;8:0.920528,
201,201-State_201.txt,ACR,371.0,city,1:0.736617;24:0.263383,83:1.000000,1:0.896969;3:0.103031,
202,202-STATE_1572.txt,KKN,12844.897,megalopolis,7:0.732264;1:0.267736,81:1.000000,3:0.157892;4:0.078559;7:0.763549,
203,203-State_203.txt,ACR,2447.965,town,24:1.000000,83:1.000000,0:0.037465;1:0.825547;2:0.136989,culture missing; inherited owner modal culture 83
204,204-State_204.txt,CAT,1005.882,town,1:1.000000,43:1.000000,4:0.521695;7:0.478305,
206,206-State_206.txt,CAT,900.0,wasteland,1:1.000000,44:1.000000,4:0.345928;5:0.654072,
207,207-STATE_1571.txt,ROQ,775.132,town,3:1.000000,7:1.000000,4:0.619777;7:0.380223,
209,209-Paktu.txt,UMR,13790.0,large_city,57:0.625889;1:0.374111,78:1.000000,4:0.060283;6:0.821148;8:0.118569,
212,212-Jérezucar.txt,GAL,2300.0,rural,25:1.000000,71:1.000000,2:0.049691;6:0.950309,
213,213-State_213.txt,KUS,3288.0,city,1:0.799982;12:0.200018,2:1.000000,1:0.258060;3:0.231714;4:0.510226,
215,215-State_215.txt,RST,5960.0,large_town,3:1.000000,67:1.000000,3:0.552987;5:0.447013,
216,216-State_216.txt,ACR,14840.0,large_town,24:1.000000,83:1.000000,0:0.686364;2:0.313636,culture missing; inherited owner modal culture 83
218,218-State_218.txt,KUS,6050.0,large_city,12:0.711602;1:0.288398,48:1.000000,0:0.450578;1:0.393114;3:0.156308,
219,219-STATE_1570.txt,ROQ,1436.409,town,3:0.627617;0:0.372383,6:1.000000,4:0.810865;8:0.189135,
220,220-State_220.txt,HIM,1200.0,town,1:1.000000,44:1.000000,6:0.303103;7:0.696897,
223,223-State_223.txt,ROQ,125.0,rural,3:1.000000,67:1.000000,8:1.000000,
225,225-State_225.txt,KUS,2160.0,city,12:0.734586;1:0.265414,20:0.561575;48:0.438425,1:0.058747;3:0.067650;7:0.873603,
226,226-State_226.txt,ACR,3200.0,city,7:0.726459;24:0.273541,83:1.000000,0:0.690488;3:0.309512,culture missing; inherited owner modal culture 83
227,227-State_227.txt,ACR,4660.0,large_town,24:0.738811;7:0.261189,83:1.000000,0:0.287612;2:0.452174;3:0.260215,culture missing; inherited owner modal culture 83
228,228-State_228.txt,KHA,560.0,town,22:1.000000,64:1.000000,4:0.519249;7:0.480751,
229,229-State_229.txt,KUS,2450.0,town,12:0.695132;1:0.304868,48:0.568715;49:0.431285,1:0.300109;2:0.359344;6:0.340547,
231,231-State_231.txt,KUS,2590.0,rural,12:0.740507;1:0.259493,20:0.590852;48:0.409148,3:0.225562;8:0.774438,
233,233-State_233.txt,NEK,780.0,town,14:1.000000,49:1.000000,0:0.941339;1:0.057812;2:0.000849,
234,234-Aveibrigado.txt,PGN,16080.0,city,25:1.000000,97:1.000000,1:0.061005;2:0.014006;7:0.924988,
236,236-State_236.txt,FSR,5290.0,large_city,1:0.740202;3:0.259798,20:1.000000,5:0.138771;7:0.167372;8:0.693856,
238,238-State_238.txt,RQA,2740.0,town,1:0.745538;3:0.254462,20:0.475608;6:0.524392,5:0.104691;6:0.348971;7:0.546338,
239,239-South Wolfen's Coast.txt,NEK,210.0,town,14:1.000000,49:1.000000,0:0.687198;1:0.312802,
240,240-State_240.txt,NEK,1260.0,town,14:1.000000,49:1.000000,0:0.360387;1:0.639613,
241,241-State_241.txt,NEK,1650.0,town,14:1.000000,49:1.000000,0:0.635093;1:0.277932;8:0.086974,
242,242-State_242.txt,DOM,5080.0,large_town,1:0.759716;13:0.240284,20:0.583501;11:0.416499,2:0.031664;6:0.079159;8:0.889177,
243,243-State_243.txt,NEK,940.0,town,14:1.000000,49:1.000000,0:0.427530;1:0.504900;8:0.067570,
244,244-State_244.txt,DOM,2480.0,town,1:0.629852;13:0.370148,20:0.429700;11:0.570300,1:0.064859;7:0.583734;8:0.351407,
245,245-State_245.txt,RQA,5770.0,large_town,1:0.742734;3:0.257266,20:0.438556;6:0.561444,3:0.082858;7:0.751426;8:0.165716,
247,247-Cookartagena.txt,SMI,12100.0,city,1:0.768664;25:0.231336,95:1.000000,2:0.012563;6:0.133057;7:0.854380,
248,248-State_248.txt,NEK,1650.0,rural,14:1.000000,49:0.495380;11:0.504620,2:1.000000,
250,250-State_250.txt,VIX,1850.0,town,12:1.000000,63:1.000000,0:0.418029;3:0.581971,
252,252-South Western New Kastra.txt,RQP,4170.0,large_city,25:0.799576;3:0.200424,71:1.000000,3:0.127575;4:0.800710;7:0.071715,
254,254-State_254.txt,FSR,5600.0,city,1:0.789045;3:0.210955,20:0.449611;6:0.550389,3:0.047815;6:0.059434;7:0.892751,
255,255-State_255.txt,FSR,2160.0,large_town,1:0.613114;3:0.386886,20:1.000000,3:0.041469;4:0.339861;7:0.618670,
256,256-State_256.txt,LMB,2568.194,town,3:0.774442;1:0.225558,6:1.000000,3:0.381184;6:0.618816,
258,258-State_258.txt,ROQ,4947.232,large_city,3:0.729059;1:0.270941,6:1.000000,0:0.049633;4:0.840467;8:0.109900,
260,260-State_260.txt,LMB,301.003,town,3:0.693405;1:0.306595,6:1.000000,4:0.140940;5:0.113145;6:0.745916,
261,261-State_261.txt,VIX,5850.0,city,12:1.000000,49:0.562692;63:0.437308,1:0.559347;3:0.440653,
262,262-State_262.txt,KAP,5569.966,large_town,48:0.789717;47:0.210283,90:1.000000,3:0.650423;5:0.349577,
264,264-State_264.txt,KHA,390.0,town,22:1.000000,64:1.000000,6:0.469035;7:0.530965,
265,265-State_265.txt,MCF,6270.0,large_town,13:1.000000,11:1.000000,3:0.142076;7:0.857924,
266,266-State_266.txt,ACR,10020.0,megalopolis,24:0.713721;7:0.286279,83:1.000000,1:0.729895;2:0.119422;3:0.150683,culture missing; inherited owner modal culture 83
267,267-State_267.txt,KHA,760.0,large_town,22:1.000000,65:1.000000,7:0.922017;8:0.077983,
269,269-State_269.txt,MCF,2265.374,large_town,13:1.000000,11:1.000000,4:0.189342;7:0.810658,
270,270-State_270.txt,NEK,1260.0,town,14:1.000000,49:1.000000,0:0.808669;2:0.008370;8:0.182961,
271,271-State_271.txt,SLR,6310.0,town,3:1.000000,57:1.000000,1:0.826369;3:0.173631,
272,272-State_272.txt,LMB,2540.0,town,3:0.733800;1:0.266200,6:1.000000,3:0.140057;5:0.252145;6:0.607798,
273,273-State_273.txt,SLR,6310.0,large_town,3:1.000000,56:1.000000,0:0.634462;2:0.365538,
274,274-State_274.txt,VIX,3720.0,town,12:1.000000,61:0.507934;63:0.492066,0:0.188257;2:0.075813;3:0.735930,
275,275-State_275.txt,NEK,6000.0,large_city,14:1.000000,49:1.000000,0:0.986305;2:0.010529;7:0.003166,
276,276-State_276.txt,ROQ,2164.126,large_town,3:0.663960;1:0.336040,7:1.000000,4:0.739613;8:0.260387,
277,277-State_277.txt,KHA,560.0,town,22:1.000000,65:1.000000,2:0.081171;5:0.519249;7:0.399580,
278,278-State_278.txt,ROQ,4963.0,town,3:0.788234;1:0.211766,6:1.000000,0:0.351479;4:0.648521,
281,281-State_281.txt,ROQ,4765.953,large_city,3:1.000000,6:1.000000,0:0.075685;4:0.855908;7:0.068407,
282,282-Kattailhain.txt,SIL,1250.0,rural,1:1.000000,21:1.000000,7:0.836960;8:0.163040,
283,283-State_283.txt,ELO,1561.539,large_town,1:1.000000,3:1.000000,0:0.905578;6:0.094422,
284,284-Solemom.txt,FKS,2610.0,town,1:0.707948;25:0.292052,95:0.576952;97:0.423048,1:0.760345;2:0.098858;6:0.140797,
285,285-State_285.txt,ROQ,15344.0,metropolis,3:0.784022;9:0.215978,37:1.000000,4:0.772420;8:0.227580,
286,286-State_286.txt,NEK,2650.0,town,14:1.000000,49:1.000000,0:0.890528;1:0.107451;2:0.002021,
287,287-Isle_Of_Nyan.txt,NEK,1430.0,town,14:1.000000,49:1.000000,2:0.554312;7:0.445688,
288,288-Doughvila.txt,PGN,2860.0,town,25:1.000000,97:1.000000,2:0.014970;6:0.522361;7:0.462669,
289,289-State_289.txt,VIX,6700.0,megalopolis,12:1.000000,63:1.000000,3:0.632128;7:0.367872,
290,290-Magdalonja.txt,FKS,2910.0,town,25:1.000000,97:1.000000,3:0.040372;6:0.764262;7:0.195366,
291,291-State_291.txt,GAL,1980.0,town,25:1.000000,71:1.000000,2:0.034375;6:0.965625,
292,292-State_292.txt,ROQ,10381.0,large_city,3:0.633664;9:0.366336,7:1.000000,4:0.727861;7:0.038606;8:0.233533,
293,293-State_293.txt,ROQ,1225.0,town,3:0.732631;1:0.267369,6:1.000000,4:0.807159;8:0.192841,
294,294-State_294.txt,MCF,4650.0,large_town,13:1.000000,50:1.000000,2:0.003624;6:0.491698;7:0.504679,
295,295-State_295.txt,ROQ,6468.0,town,3:0.634979;9:0.365021,7:1.000000,4:0.881088;8:0.118912,
296,296-State_296.txt,ROQ,1799.0,town,3:0.674897;1:0.325103,7:0.448689;6:0.551311,0:0.247422;4:0.752578,
297,297-State_297.txt,ROQ,1840.244,town,3:1.000000,6:1.000000,4:0.831822;8:0.168178,
299,299-State_299.txt,LMB,6180.0,large_town,3:0.755933;1:0.244067,6:1.000000,3:0.058290;4:0.099645;6:0.842065,
300,300-Valledupèr.txt,FKS,2990.0,town,1:0.797436;25:0.202564,95:0.510749;96:0.489251,0:0.663712;3:0.336288,
301,301-State_301.txt,LMB,3340.0,town,3:0.759003;1:0.240997,6:1.000000,3:0.553692;5:0.446308,
302,302-State_302.txt,FST,4080.0,town,1:1.000000,61:1.000000,3:0.383786;7:0.616214,
303,303-State_303.txt,ROQ,7200.991,large_city,3:0.742741;1:0.257259,58:1.000000,0:0.037239;4:0.893708;7:0.069053,
306,306-State_306.txt,ROQ,4592.0,town,3:1.000000,7:1.000000,4:0.827720;8:0.172280,
307,307-State_307.txt,ROQ,3920.0,town,3:0.755515;1:0.244485,6:1.000000,0:0.305972;4:0.694028,
308,308-State_308.txt,ROQ,861.0,town,3:1.000000,7:1.000000,4:0.448997;7:0.095034;8:0.455969,
309,309-Rozzmione.txt,PRC,10597.742,metropolis,47:1.000000,88:1.000000,1:0.547687;4:0.388082;8:0.064231,
311,311-State_311.txt,KHA,780.0,large_town,22:1.000000,65:1.000000,3:0.189070;7:0.810930,
313,313-State_313.txt,MCF,2492.307,town,13:1.000000,11:1.000000,3:0.107522;4:0.021496;6:0.870982,
314,314-State_314.txt,ROQ,3395.982,city,3:0.644684;1:0.355316,7:1.000000,4:0.639591;7:0.360409,
316,316-State_316.txt,ROQ,2961.0,town,3:1.000000,7:1.000000,4:0.869448;7:0.060035;8:0.070517,
317,317-State_317.txt,KHA,910.0,town,22:1.000000,64:1.000000,8:1.000000,
319,319-State_319.txt,ROQ,2940.0,town,3:1.000000,7:0.543591;6:0.456409,4:0.737031;7:0.262969,
320,320-State_320.txt,ROQ,26271.0,megalopolis,3:0.678859;1:0.321141,6:1.000000,4:0.894991;7:0.089841;8:0.015167,
321,321-State_321.txt,PER,2453.344,town,3:0.675523;1:0.324477,7:1.000000,3:0.040334;4:0.012795;6:0.946871,
322,322-Zharr Station.txt,PAN,2510.0,rural,60:1.000000,79:1.000000,3:0.128828;6:0.381315;7:0.489857,
323,323-State_323.txt,PER,6040.0,large_town,3:0.606591;9:0.393409,7:1.000000,3:0.105672;6:0.894328,
324,324-Kattenburg_Airbase.txt,PTQ,821.333,town,1:1.000000,64:1.000000,1:0.209124;6:0.790876,
325,325-State_325.txt,ROQ,5654.544,city,3:1.000000,58:1.000000,0:0.150879;4:0.813207;8:0.035914,
326,326-State_326.txt,MUL,1604.05,town,45:0.605933;47:0.394067,89:1.000000,0:0.176380;6:0.823620,
327,327-State_327.txt,SLR,6670.0,megalopolis,3:1.000000,57:1.000000,0:0.934453;2:0.065547,
328,328-State_328.txt,SLR,11450.0,large_city,3:1.000000,57:1.000000,0:0.706051;1:0.230910;4:0.063039,
332,332-State_332.txt,ROQ,4697.0,town,3:0.676588;1:0.323412,7:1.000000,4:0.775164;8:0.224836,
333,333-State_333.txt,FST,2370.0,rural,1:1.000000,61:1.000000,3:0.007749;4:0.022910;8:0.969341,
