tag,states,population,max_abs_error_pp,dropped_ideologies,target_Communist,actual_Communist,target_Socialist,actual_Socialist,target_Social Democrat,actual_Social Democrat,target_Social Liberal,actual_Social Liberal,target_Market Liberal,actual_Market Liberal,target_Social Conservative,actual_Social Conservative,target_Authoritarian Democratic,actual_Authoritarian Democratic,target_Autocratic,actual_Autocratic,target_National Mysticist,actual_National Mysticist,target_Apolitical,actual_Apolitical
ELO,6,15198372,1.4713052618827993,,9.0,9.304251425329996,8.0,8.27044897534883,8.0,8.270451191049112,10.0,8.86822672162862,5.0,5.169032740194812,5.0,5.169032461848074,30.0,31.014183533884008,12.0,12.405678212599353,13.0,11.528694738117201,0.0,0.0
ENO,6,7742000,3.164135620181696e-13,,14.000000000000002,13.999999999999686,13.0,12.999999999999975,13.0,13.000000000000062,0.0,0.0,0.0,0.0,60.0,60.00000000000028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EUL,7,27040000,4.3853809472693683e-13,,10.0,10.000000000000107,10.0,9.999999999999751,10.0,10.00000000000001,10.0,9.999999999999954,45.0,45.00000000000044,5.0,4.999999999999964,5.0,5.000000000000052,5.0,4.9999999999997256,0.0,0.0,0.0,0.0
FKS,5,39690000,2.6575963651964685e-13,,5.0,5.0000000000002665,5.0,4.999999999999803,5.0,4.99999999999986,5.0,5.000000000000136,0.0,0.0,0.0,0.0,60.0,59.99999999999993,20.0,20.0,0.0,0.0,0.0,0.0
FLE,1,1254279,16.153846153846157,0;1;2;5;7;8,3.0,0.0,3.0,0.0,3.0,0.0,30.0,46.15384615384615,18.0,27.69230769230769,3.0,0.0,17.0,26.153846153846157,15.0,0.0,8.0,0.0,0.0,0.0
FLM,2,417370,2.0,2;4;5,2.0,2.5349210532620936,2.0,2.5349210532620936,2.0,0.0,3.0,3.0373388543667708,1.0,0.0,1.0,0.0,13.0,13.16180170225601,69.0,69.85879365043571,7.000000000000001,8.872223686417327,0.0,0.0
FLS,2,639010,3.0,4;5;8,57.99999999999999,60.82537778365635,8.0,8.389707280504325,9.0,9.590694981299196,3.0,3.1968983270997313,1.0,0.0,1.0,0.0,7.000000000000001,7.3409938704412845,10.0,10.656327756999108,3.0,0.0,0.0,0.0
FOD,53,72732733,1.1102230246251565e-14,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,2.999999999999999,3.0,2.999999999999999,5.0,4.999999999999999,19.0,18.999999999999996,65.0,64.99999999999999,0.0,0.0
FRA,17,66830606,0.010147438159162359,,3.0,3.0003034133211473,2.0,2.0002199323584455,10.0,10.001063029399948,15.0,15.001633920634305,10.0,10.001084272425462,10.0,10.000867335511671,45.0,45.004975534508176,5.0,4.989852561840838,0.0,0.0,0.0,0.0
FSR,4,24470000,3.469446951953614e-16,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,3.0,3.0,2.9999999999999996,10.0,10.0,64.0,64.0,15.0,15.0,0.0,0.0
FST,9,25520000,4.752309656907983e-10,,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.000000000119188,5.0,5.000000000068975,6.0,6.000000000096653,0.0,0.0,14.000000000000002,14.000000000190415,66.0,65.99999999952477,0.0,0.0
GAL,23,90720001,1.1102230246251565e-14,,2.0,1.9999999999999993,2.0,2.0,2.0,1.9999999999999998,2.0,2.0,1.0,0.9999999999999997,1.0,0.9999999999999999,80.0,80.00000000000001,5.0,4.999999999999999,5.0,4.999999999999999,0.0,0.0
HAR,5,4220000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,84.0,84.0,0.0,0.0,0.0,0.0
HIM,4,2740000,3.014598540145985,,2.0,2.042242584252213,2.0,0.0,2.0,0.0,3.0,3.06336387637832,1.0,0.0,1.0,4.014598540145985,13.0,13.274576797639387,71.0,72.49961174095357,5.0,5.105606460630534,0.0,0.0
HYP,5,12827588,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,84.0,84.0,0.0,0.0
IMF,9,8506000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
IZW,9,8940000,2.814275201767913e-09,,8.0,8.000000000276417,9.0,9.000000000286777,72.0,72.00000000197616,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.9999999971857245,5.0,5.000000000179845,3.0,3.0000000000950657,0.0,0.0
KAP,14,50174265,0.11161716033434924,,7.000000000000001,7.008247729801294,10.0,10.01174045393103,22.0,22.025862160154254,21.0,21.024702156882153,10.0,10.011658292032303,10.0,10.011761130811609,5.0,4.888382839665651,10.0,10.01177291274505,5.0,5.00587232397666,0.0,0.0
KAR,2,560000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,84.0,84.0,0.0,0.0,0.0,0.0
KEP,20,57557200,0.0,,2.0,2.0,2.0,2.0,2.0,2.0,13.0,13.0,59.0,59.0,7.000000000000001,7.000000000000001,3.0,3.0,7.000000000000001,7.000000000000001,5.0,5.0,0.0,0.0
KHA,11,9581875,1.1214532646272257,,3.0,3.0346833771042805,3.0,1.8785467353727743,3.0,3.0346834080155514,5.0,5.057805691314672,3.0,3.034683374728725,3.0,3.034683362302589,9.0,9.104050184756222,61.0,61.705230597820396,10.0,10.115633268584803,0.0,0.0
KKN,27,69285507,7.760458942129844e-11,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.000000000012679,3.0,3.000000000010588,2.0,2.0000000000049223,5.0,4.999999999995824,20.0,20.00000000005358,65.0,64.9999999999224,0.0,0.0
KOA,7,41470000,0.0021238274427015646,,0.0,0.0,80.0,79.9978761725573,0.0,0.0,5.0,4.999869272109338,3.0,2.9999177830521218,2.0,2.000728322277346,5.0,5.001751430518688,5.0,4.999857019485202,0.0,0.0,0.0,0.0
KOL,18,5120000,0.0016644246348285208,,1.0,1.000091254307645,1.0,1.0000888724874573,1.0,0.9999780613615182,3.0,3.000185814484087,1.0,0.9999770509841287,1.0,0.9999768873341986,16.0,16.001389911901423,75.0,74.99833557536518,1.0,0.999976571774374,0.0,0.0
KPK,4,14906000,4.710988863544882,,9.0,5.818279399387678,7.000000000000001,8.041160503256304,9.0,12.261453828607994,13.0,8.40418135467109,6.0,6.892423288505402,7.000000000000001,6.357790874093036,4.0,5.449535034936887,32.0,29.064186852996727,13.0,17.710988863544884,0.0,0.0
KTN,20,73136978,1.1102230246251565e-14,,5.05050505050505,5.050505050505051,6.0606060606060606,6.060606060606061,76.76767676767676,76.76767676767678,0.0,0.0,0.0,0.0,0.0,0.0,5.05050505050505,5.050505050505051,6.0606060606060606,6.060606060606061,1.0101010101010102,1.0101010101010104,0.0,0.0
KTW,1,1500000,19.324324324324316,0;1;2;5;7;8,3.0,0.0,3.0,0.0,4.0,0.0,13.0,17.567567567567572,6.0,8.108108108108109,6.0,0.0,55.00000000000001,74.32432432432432,5.0,0.0,5.0,0.0,0.0,0.0
KTZ,4,4,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,5.0,18.0,18.0,66.0,66.0,0.0,0.0
KUS,11,27260002,4.052236324270098e-09,,10.0,10.000000001185438,15.0,15.000000001442777,10.0,10.00000000051513,10.0,10.000000000879089,10.0,10.000000000438035,10.0,9.999999995947764,10.0,10.000000000873305,15.0,14.999999997716868,10.0,10.000000001001599,0.0,0.0
LIO,17,32844711,0.059595284112390345,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.042419951928742,2.0,2.016833623943483,2.0,2.017126971341262,71.0,70.94040471588761,10.0,9.991495669497898,10.0,9.991719067401027,0.0,0.0
LMB,11,29455338,1.3877787807814457e-15,,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,11.0,11.0,9.0,8.999999999999998,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
LTR,14,59848743,0.0007594576516611884,,5.0,4.999799483200017,12.0,12.000614219159026,12.0,11.999459910802942,20.0,19.99926779888968,16.0,16.00075945765166,15.0,15.00038604403703,10.0,9.999626984889813,6.0,6.000289660686046,4.0,3.9997964406837907,0.0,0.0
MCF,16,49819863,0.00105728913786865,,2.0,2.0010572891378686,2.0,1.9999784226706558,2.0,1.9999784226706563,5.0,4.999946056676639,3.0,2.999967634005984,3.0,2.999967634005983,13.0,12.999859747359263,68.0,67.99926637080229,2.0,1.9999784226706558,0.0,0.0
MEC,2,11400000,0.0,,6.0,6.0,7.000000000000001,7.000000000000001,7.000000000000001,7.000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,14.000000000000002,14.000000000000002,66.0,66.0,0.0,0.0,0.0,0.0
MEO,4,23200000,1.3753013713979634e-05,,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.000002789518911,53.0,53.00001367429839,6.0,5.999993457672036,14.000000000000002,14.000003831524385,16.0,15.999986246986285,0.0,0.0,0.0,0.0
MER,22,28398000,0.12123856969368241,,3.0,2.9998963198219064,3.0,3.0462487779858947,3.0,3.0039292686178887,5.0,5.07688933400118,2.0,1.9998434198151616,3.0,2.999752957899098,11.0,10.99878208710329,65.0,64.87876143030633,5.0,4.995896404449277,0.0,0.0
MEW,8,28920000,3.3306690738754696e-13,,66.0,65.99999999999976,9.0,9.000000000000332,10.0,9.99999999999994,3.0,2.999999999999985,1.0,1.0000000000000415,1.0,0.9999999999999919,2.0,1.9999999999999911,5.0,4.999999999999974,3.0,2.999999999999986,0.0,0.0
MON,4,4,1.1102230246251565e-14,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.000000000000004,83.0,83.0,0.0,0.0,0.0,0.0
MUL,8,9638899,1.4037337003763084,,3.0,2.9352122893596517,3.0,3.2762002386609543,3.0,2.935212294272118,11.0,12.012734175903333,5.0,4.892020486678829,5.0,5.460333733177486,65.0,63.59626629962369,2.0,1.95680819292306,3.0,2.9352122894008894,0.0,0.0
NAV,7,22950000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,84.0,84.0,0.0,0.0,0.0,0.0
NEK,13,21877676,7.599056939255888e-06,,73.0,72.99999240094306,10.0,9.99999881269108,12.0,12.000007105277431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.000001905892636,2.0,1.9999997751957914,0.0,0.0
NEU,9,39981664,1.1102230246251565e-14,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,20.0,20.0,75.0,75.00000000000001,0.0,0.0
NKB,8,14141592,7.878058205790239e-08,,3.0,2.999999994829321,3.0,3.000000005119827,3.0,2.9999999946871188,5.0,5.000000005688266,3.0,3.000000005119827,3.0,3.0000000049325504,6.0,5.999999938743716,55.00000000000001,55.00000007878059,19.0,18.99999997209879,0.0,0.0
NKC,7,31250000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,77.0,77.0,10.0,10.0,0.0,0.0
NMI,15,112356326,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
OST,15,14137236,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,5.0,5.0,5.0,5.0,14.000000000000002,14.000000000000002,66.0,66.0,0.0,0.0,0.0,0.0
PAN,9,38050000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,2.0,2.0,2.0,13.0,13.0,73.0,73.0,5.0,5.0,0.0,0.0
PAW,8,31113544,0.07479036816073342,,10.0,9.925209631839268,4.0,4.0032643747076335,9.0,9.006959020534756,10.0,10.008188006598065,2.0,2.0017072752952525,6.0,6.005233826315083,11.0,11.008825606911552,13.0,13.010914213118783,35.0,35.02969804467961,0.0,0.0
PER,8,43283995,0.1357788188242004,,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.021964511611575,8.0,8.011730002030495,7.000000000000001,6.8642211811758,70.0,70.10208430518213,0.0,0.0,0.0,0.0,0.0,0.0
PGN,6,46980000,1.3877787807814457e-15,,3.0,2.9999999999999996,3.0,2.9999999999999996,3.0,2.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.999999999999998,68.0,68.0,11.0,10.999999999999998,0.0,0.0
PLA,3,14610000,6.0,,8.0,11.253510821591258,8.0,7.286499110760541,9.0,12.660199674290165,12.0,10.93048280316899,6.0,5.465241401584495,6.0,0.0,4.0,3.6432495553802706,35.0,31.880550400837393,12.0,16.880266232386887,0.0,0.0
PLR,50,16212000,0.0,,5.0,5.0,70.0,70.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0
POT,3,5591801,3.5263157894736774,,3.0,0.0,3.0,3.157894736842106,4.0,4.210526315789474,5.0,5.263157894736842,2.0,2.1052631578947367,2.0,0.0,14.000000000000002,14.736842105263163,67.0,70.52631578947368,0.0,0.0,0.0,0.0
PRC,11,62823834,0.0004336737897514542,,15.0,14.999566326210248,30.0,30.000354906927658,10.0,10.00014804434846,5.0,5.000081950811756,8.0,8.000071413987007,8.0,8.000118746121162,8.0,7.999930987611766,8.0,7.999598866757307,8.0,8.000128757224635,0.0,0.0
PRL,21,73744338,1.1102230246251565e-14,,2.0,1.9999999999999998,2.0,1.9999999999999998,2.0,1.9999999999999998,79.0,78.99999999999999,0.0,0.0,0.0,0.0,5.0,5.0,7.000000000000001,6.999999999999999,3.0,2.9999999999999996,0.0,0.0
PTQ,11,26040000,6.461942092528261e-10,,11.0,11.000000000469097,10.0,9.999999999927772,9.0,9.000000000249337,0.0,0.0,0.0,0.0,0.0,0.0,70.0,69.9999999993538,0.0,0.0,0.0,0.0,0.0,0.0
ROQ,49,207293815,2.220446049250313e-14,,5.0,5.000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,80.0,80.00000000000003,0.0,0.0,0.0,0.0,5.0,5.000000000000002,10.0,10.000000000000004,0.0,0.0
RQA,3,8527103,7.401854993583212,,3.0,0.0,3.0,0.0,3.0,0.0,5.0,5.606709425703542,2.0,0.2005722224769655,3.0,3.3640256554221244,10.0,11.213418851407082,61.0,68.40185499358321,10.0,11.213418851407084,0.0,0.0
RQP,6,14950000,2.7755575615628914e-15,,0.0,0.0,0.0,0.0,0.0,0.0,14.000000000000002,14.000000000000004,68.0,68.0,8.0,8.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0
RSA,2,410000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,75.0,75.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RST,11,38060000,8.200548129444485e-07,,0.0,0.0,60.0,59.999999179945185,0.0,0.0,16.0,16.000000524398285,7.000000000000001,6.999999906845096,7.000000000000001,7.00000027232303,5.0,5.000000197081142,5.0,4.999999919407264,0.0,0.0,0.0,0.0
SIL,34,211830000,0.13926773494298722,,3.0,3.006441218885022,3.0,2.860732265057013,4.0,4.008587450098515,5.0,5.010736523506318,3.0,3.0064412082070984,2.0,1.9352896848605738,12.0,12.02576298220435,22.0,22.047252069499006,46.0,46.09875659768211,0.0,0.0
SLC,3,10020000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
SLR,10,72180057,1.734723475976807e-16,,75.0,75.0,11.0,11.0,10.0,10.0,2.0,2.0,1.0,1.0000000000000002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMI,3,23740000,6.938893903907228e-16,,5.0,5.0,5.0,5.000000000000001,5.0,5.000000000000001,5.0,5.0,0.0,0.0,0.0,0.0,20.0,20.0,60.0,60.0,0.0,0.0,0.0,0.0
SMP,20,74685783,7.03674853941294e-06,,3.0,3.000001127782777,3.0,2.999999662972528,3.0,3.0000008688359934,0.0,0.0,0.0,0.0,66.0,65.99999296325146,7.000000000000001,6.999999196031041,13.0,13.000004367434247,5.0,5.000001813691943,0.0,0.0
SOB,31,83940000,5.715136697226342e-10,,59.0,59.00000000021319,8.0,8.000000000072806,9.0,9.000000000090887,5.0,5.0000000000455005,3.0,3.000000000034299,2.0,1.9999999994284863,2.0,2.000000000008535,7.000000000000001,7.000000000072671,5.0,5.0000000000336104,0.0,0.0
SOF,34,47860000,2.7755575615628914e-15,,2.0,1.9999999999999993,2.0,1.9999999999999998,2.0,1.9999999999999993,5.0,4.999999999999999,2.0,1.9999999999999998,3.0,2.9999999999999996,13.0,12.999999999999998,68.0,68.0,3.0,2.9999999999999996,0.0,0.0
STR,11,23788000,1.2212453270876722e-13,,5.0,4.9999999999999885,5.0,5.000000000000083,5.0,5.000000000000056,0.0,0.0,0.0,0.0,71.0,70.99999999999987,5.0,4.999999999999987,7.000000000000001,6.999999999999981,2.0,2.0000000000000373,0.0,0.0
TAI,13,15711762,1.1102230246251565e-14,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.9999999999999998,1.0,0.9999999999999999,1.0,0.9999999999999999,8.0,7.999999999999999,67.0,67.0,21.0,20.999999999999993,0.0,0.0
TAK,3,2017500,6.261243530869609,,0.0,0.0,0.0,0.0,0.0,0.0,15.0,16.619287120052483,7.000000000000001,1.5613382899628252,8.0,4.26270136307311,12.0,13.295429696041989,57.99999999999999,64.2612435308696,0.0,0.0,0.0,0.0
TEM,10,18604772,2.7755575615628914e-15,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,24.0,23.999999999999996,66.0,66.0,0.0,0.0
TEN,9,43768502,3.2640556923979602e-12,,2.0,2.0000000000005214,2.0,1.9999999999998856,2.0,2.0000000000003055,2.0,1.99999999999988,1.0,0.9999999999999646,1.0,0.9999999999999424,14.000000000000002,14.000000000003087,71.0,70.99999999999673,5.0,4.999999999999689,0.0,0.0
UMR,5,55160000,8.104628079763643e-13,,0.0,0.0,6.0,5.999999999999921,0.0,0.0,10.0,10.00000000000046,5.0,4.999999999999915,5.0,4.999999999999908,57.99999999999999,57.99999999999918,11.0,11.000000000000577,5.0,5.0000000000000355,0.0,0.0
UST,6,19040000,1.3311612256927674e-06,,55.00000000000001,54.99999866883878,8.0,8.00000034924628,8.0,8.000000164144163,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.000000301111456,14.000000000000002,13.999999870736445,10.0,10.000000645922885,0.0,0.0
VAS,14,16045000,1.3877787807814457e-15,,13.0,13.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,47.0,47.0,0.0,0.0,5.0,5.000000000000002,5.0,5.000000000000001,0.0,0.0
VIX,11,53030000,1.1102230246251565e-14,,10.0,10.0,9.0,9.0,11.0,11.000000000000002,61.0,60.999999999999986,0.0,0.0,0.0,0.0,2.0,2.0,5.0,5.0,2.0,2.0000000000000004,0.0,0.0
WAC,16,49129548,1.1102230246251565e-14,,0.0,0.0,80.0,80.00000000000001,0.0,0.0,5.0,5.000000000000001,2.0,2.0000000000000004,3.0,3.0000000000000004,0.0,0.0,5.0,5.000000000000001,5.0,5.000000000000001,0.0,0.0
WPR,20,20182508,2.1149748619109232e-12,,5.0,4.99999999999999,5.0,5.000000000002116,5.0,4.999999999999327,7.000000000000001,7.000000000000006,4.0,3.999999999999942,4.0,4.000000000000752,10.0,10.000000000000272,52.0,51.99999999999873,8.0,7.999999999998879,0.0,0.0
ZUS,10,33680000,4.583862989182563e-06,,6.0,6.000002963927119,7.000000000000001,6.999999516084042,7.000000000000001,7.000003252907884,0.0,0.0,0.0,0.0,0.0,0.0,13.0,12.999998850943943,67.0,66.99999541613701,0.0,0.0,0.0,0.0
