[23:03:50][no_game_date][dlc.cpp:222]: Invalid supported_version in  file: mod/ugc_3368690477.mod line: 7
[23:03:56][no_game_date][countrytag.cpp:126]: KAS - is not in the tag list
[23:03:56][no_game_date][countrytag.cpp:126]: CRI - is not in the tag list
[23:03:56][no_game_date][countrytag.cpp:126]: KOS - is not in the tag list
[23:03:56][no_game_date][countrytag.cpp:126]: KUR - is not in the tag list
[23:03:56][no_game_date][countrytag.cpp:126]: BLC - is not in the tag list
[23:03:56][no_game_date][countrytag.cpp:126]: IMO - is not in the tag list
[23:03:56][no_game_date][countrytag.cpp:126]: KLT - is not in the tag list
[23:03:56][no_game_date][countrytag.cpp:126]: KBK - is not in the tag list
[23:03:56][no_game_date][countrytag.cpp:126]: DJI - is not in the tag list
[23:03:56][no_game_date][countrytag.cpp:126]: SEN - is not in the tag list
[23:03:56][no_game_date][countrytag.cpp:126]: GAM - is not in the tag list
[23:03:56][no_game_date][countrytag.cpp:126]: GNB - is not in the tag list
[23:03:56][no_game_date][countrytag.cpp:126]: SIE - is not in the tag list
[23:03:56][no_game_date][countrytag.cpp:126]: VOL - is not in the tag list
[23:03:56][no_game_date][countrytag.cpp:126]: GNA - is not in the tag list
[23:03:56][no_game_date][countrytag.cpp:126]: XSM - is not in the tag list
[23:03:56][no_game_date][countrytag.cpp:126]: SIK - is not in the tag list
[23:03:56][no_game_date][countrytag.cpp:126]: KHM - is not in the tag list
[23:03:56][no_game_date][countrytag.cpp:126]: GSM - is not in the tag list
[23:03:56][no_game_date][countrytag.cpp:126]: NXM - is not in the tag list
[23:03:56][no_game_date][countrytag.cpp:126]: KUM - is not in the tag list
[23:03:56][no_game_date][countrytag.cpp:126]: SAB - is not in the tag list
[23:03:56][no_game_date][countrytag.cpp:126]: BRN - is not in the tag list
[23:03:56][no_game_date][countrytag.cpp:126]: CHM - is not in the tag list
[23:03:56][no_game_date][countrytag.cpp:126]: AFG - is not in the tag list
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Malformed token: water_space, near line: 343" in file: "common/terrain/00_terrain.txt" near line: 343
[23:03:56][no_game_date][subunitdefinition.cpp:494]: No localisation for modifier_experience_gain_super_heavy_battleship_mission_factor
[23:03:56][no_game_date][subunitdefinition.cpp:494]: No localisation for modifier_experience_gain_ballistic_submarine_mission_factor
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_carrier_fighter, near line: 280" in file: "common/doctrines/subdoctrines/air/air_fighter_aircraft_subdoctrines.txt" near line: 283
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_maritime_patrol_bomber, near line: 236" in file: "common/doctrines/subdoctrines/air/air_heavy_aircraft_subdoctrines.txt" near line: 238
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_maritime_patrol_bomber, near line: 245" in file: "common/doctrines/subdoctrines/air/air_heavy_aircraft_subdoctrines.txt" near line: 248
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_maritime_patrol_bomber, near line: 257" in file: "common/doctrines/subdoctrines/air/air_heavy_aircraft_subdoctrines.txt" near line: 259
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_maritime_patrol_bomber, near line: 284" in file: "common/doctrines/subdoctrines/air/air_heavy_aircraft_subdoctrines.txt" near line: 286
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_maritime_patrol_bomber, near line: 296" in file: "common/doctrines/subdoctrines/air/air_heavy_aircraft_subdoctrines.txt" near line: 299
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_maritime_patrol_bomber, near line: 354" in file: "common/doctrines/subdoctrines/air/air_heavy_aircraft_subdoctrines.txt" near line: 356
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_carrier_cas, near line: 173" in file: "common/doctrines/subdoctrines/air/air_strike_aircraft_subdoctrines.txt" near line: 175
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_carrier_nav_bomber, near line: 176" in file: "common/doctrines/subdoctrines/air/air_strike_aircraft_subdoctrines.txt" near line: 178
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_carrier_nav_bomber, near line: 186" in file: "common/doctrines/subdoctrines/air/air_strike_aircraft_subdoctrines.txt" near line: 188
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_carrier_cas, near line: 192" in file: "common/doctrines/subdoctrines/air/air_strike_aircraft_subdoctrines.txt" near line: 194
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_carrier_nav_bomber, near line: 303" in file: "common/doctrines/subdoctrines/air/air_strike_aircraft_subdoctrines.txt" near line: 305
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: armored_maintenance, near line: 219" in file: "common/doctrines/subdoctrines/land/armor_subdoctrines.txt" near line: 225
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: armored_signal, near line: 302" in file: "common/doctrines/subdoctrines/land/armor_subdoctrines.txt" near line: 307
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: armored_engineer, near line: 364" in file: "common/doctrines/subdoctrines/land/armor_subdoctrines.txt" near line: 369
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: assault_engineer, near line: 393" in file: "common/doctrines/subdoctrines/land/armor_subdoctrines.txt" near line: 395
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: armored_engineer, near line: 396" in file: "common/doctrines/subdoctrines/land/armor_subdoctrines.txt" near line: 398
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: armored_signal, near line: 399" in file: "common/doctrines/subdoctrines/land/armor_subdoctrines.txt" near line: 401
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: motorized_military_police, near line: 475" in file: "common/doctrines/subdoctrines/land/armor_subdoctrines.txt" near line: 481
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: motorized_military_police, near line: 588" in file: "common/doctrines/subdoctrines/land/armor_subdoctrines.txt" near line: 594
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: assault_engineer, near line: 678" in file: "common/doctrines/subdoctrines/land/armor_subdoctrines.txt" near line: 685
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_tank_destroyers, near line: 688" in file: "common/doctrines/subdoctrines/land/armor_subdoctrines.txt" near line: 691
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_tank_destroyers, near line: 695" in file: "common/doctrines/subdoctrines/land/armor_subdoctrines.txt" near line: 698
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: armored_signal, near line: 702" in file: "common/doctrines/subdoctrines/land/armor_subdoctrines.txt" near line: 709
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: rocket_artillery_brigade, near line: 56" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 58
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: rocket_artillery_brigade, near line: 81" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 83
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: mot_rocket_artillery_brigade, near line: 195" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 197
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: armored_signal, near line: 225" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 231
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: mot_rocket_artillery_brigade, near line: 242" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 244
[23:03:56][no_game_date][scopedvariable.cpp:582]: sp:sp_air_helicopter does not match any Special Project in database
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: helicopter_recon, near line: 285" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 291
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: helicopter_field_hospital, near line: 299" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 307
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: helicopter_transport, near line: 311" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 319
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_self_propelled_artillery, near line: 405" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 407
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_self_propelled_anti_air, near line: 408" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 411
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_tank_destroyers, near line: 412" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 415
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_self_propelled_artillery, near line: 501" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 503
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_self_propelled_anti_air, near line: 504" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 507
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_tank_destroyers, near line: 508" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 511
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_self_propelled_artillery, near line: 546" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 548
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_self_propelled_anti_air, near line: 549" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 551
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_tank_destroyers, near line: 552" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 554
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_self_propelled_artillery, near line: 560" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 562
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_self_propelled_anti_air, near line: 563" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 565
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_tank_destroyers, near line: 566" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 568
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Invalid subunit category: category_self_propelled_artillery, near line: 574" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 574
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Invalid subunit category: category_self_propelled_artillery, near line: 581" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 581
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Invalid subunit category: category_self_propelled_artillery, near line: 588" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 588
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_self_propelled_artillery, near line: 595" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 597
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_self_propelled_anti_air, near line: 598" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 600
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_tank_destroyers, near line: 601" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 603
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_self_propelled_artillery, near line: 606" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 608
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_self_propelled_anti_air, near line: 609" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 612
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_tank_destroyers, near line: 613" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 615
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_self_propelled_artillery, near line: 618" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 621
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_self_propelled_anti_air, near line: 622" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 625
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_tank_destroyers, near line: 626" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 630
[23:03:56][no_game_date][scopedvariable.cpp:582]: sp:sp_land_super_heavy_howitzer does not match any Special Project in database
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: super_heavy_artillery, near line: 657" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 663
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: super_heavy_artillery, near line: 679" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 683
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: self_propelled_super_heavy_artillery, near line: 684" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 688
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: super_heavy_artillery, near line: 694" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 698
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: self_propelled_super_heavy_artillery, near line: 699" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 703
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: super_heavy_artillery, near line: 718" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 721
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: self_propelled_super_heavy_artillery, near line: 722" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 725
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: super_heavy_artillery, near line: 733" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 737
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: self_propelled_super_heavy_artillery, near line: 738" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 742
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: self_propelled_super_heavy_artillery, near line: 748" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 751
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: assault_engineer, near line: 797" in file: "common/doctrines/subdoctrines/land/combat_support_subdoctrines.txt" near line: 804
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_vehicle_infantry, near line: 51" in file: "common/doctrines/subdoctrines/land/infantry_subdoctrines.txt" near line: 53
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_vehicle_infantry, near line: 56" in file: "common/doctrines/subdoctrines/land/infantry_subdoctrines.txt" near line: 59
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_vehicle_infantry, near line: 209" in file: "common/doctrines/subdoctrines/land/infantry_subdoctrines.txt" near line: 212
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: rocket_artillery_brigade, near line: 435" in file: "common/doctrines/subdoctrines/land/infantry_subdoctrines.txt" near line: 437
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: helicopter_field_hospital, near line: 485" in file: "common/doctrines/subdoctrines/land/infantry_subdoctrines.txt" near line: 487
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Invalid subunit category: category_vehicle_infantry, near line: 500" in file: "common/doctrines/subdoctrines/land/infantry_subdoctrines.txt" near line: 500
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_vehicle_infantry, near line: 505" in file: "common/doctrines/subdoctrines/land/infantry_subdoctrines.txt" near line: 508
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_vehicle_infantry, near line: 394" in file: "common/doctrines/subdoctrines/land/operations_subdoctrines.txt" near line: 396
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_vehicle_infantry, near line: 420" in file: "common/doctrines/subdoctrines/land/operations_subdoctrines.txt" near line: 423
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_vehicle_infantry, near line: 521" in file: "common/doctrines/subdoctrines/land/operations_subdoctrines.txt" near line: 523
[23:03:56][no_game_date][persistent.cpp:66]: Error: "Unexpected token: category_vehicle_infantry, near line: 547" in file: "common/doctrines/subdoctrines/land/operations_subdoctrines.txt" near line: 550
[23:03:56][no_game_date][common/doctrines/subdoctrines/sea/navy_capital_subdoctrines.txt:269]: Value does not belong to designated Script EnumType: ship_hull_cruiser_coastal_defense_ship not in script_enum_equipment_bonus_type
[23:03:56][no_game_date][common/doctrines/subdoctrines/sea/navy_capital_subdoctrines.txt:432]: Value does not belong to designated Script EnumType: ship_hull_heavy not in script_enum_equipment_bonus_type
[23:03:56][no_game_date][scopedvariable.cpp:582]: sp:sp_naval_escort_carrier does not match any Special Project in database
[23:03:56][no_game_date][common/doctrines/subdoctrines/sea/navy_carrier_doctrines.txt:141]: Value does not belong to designated Script EnumType: ship_hull_escort_carrier not in script_enum_equipment_bonus_type
[23:03:56][no_game_date][common/doctrines/subdoctrines/sea/navy_carrier_doctrines.txt:149]: Value does not belong to designated Script EnumType: ship_hull_escort_carrier not in script_enum_equipment_bonus_type
[23:03:56][no_game_date][common/doctrines/subdoctrines/sea/navy_carrier_doctrines.txt:165]: Value does not belong to designated Script EnumType: ship_hull_escort_carrier not in script_enum_equipment_bonus_type
[23:03:56][no_game_date][scopedvariable.cpp:582]: sp:sp_naval_escort_carrier does not match any Special Project in database
[23:03:56][no_game_date][scopedvariable.cpp:582]: sp:sp_naval_support_ships does not match any Special Project in database
[23:03:56][no_game_date][common/doctrines/subdoctrines/sea/navy_carrier_doctrines.txt:219]: Value does not belong to designated Script EnumType: ship_hull_escort_carrier not in script_enum_equipment_bonus_type
[23:03:56][no_game_date][common/doctrines/subdoctrines/sea/navy_screen_doctrines.txt:97]: Value does not belong to designated Script EnumType: ship_hull_cruiser not in script_enum_equipment_bonus_type
[23:03:56][no_game_date][scopedvariable.cpp:582]: sp:sp_naval_support_ships does not match any Special Project in database
[23:03:56][no_game_date][common/doctrines/subdoctrines/sea/navy_screen_doctrines.txt:391]: Value does not belong to designated Script EnumType: ship_hull_torpedo_cruiser not in script_enum_equipment_bonus_type
[23:03:56][no_game_date][scopedvariable.cpp:582]: sp:sp_naval_midget_submarine does not match any Special Project in database
